id,course,country,discipline,race_time,local_time,timezone_name,field_size,value_score,favorite_name,favorite_odds,second_favorite_name,second_favorite_odds,race_url,form_guide_url,data_sources
cfef990d4792,Harness Meeting,AU,harness,13:12,13:12,Australia/Sydney,99,5.0,,,,,https://www.harness.org.au/racing/fields/race-fields/?mc=AP120825,,"HRA,HRA"
a48c9f270618,Harness Meeting,AU,harness,13:12,13:12,Australia/Sydney,99,5.0,,,,,https://www.harness.org.au/racing/fields/race-fields/?mc=AP120825,,"HRA,HRA"
