Id,MainID,FPos,DistBtn,CardNo,HorseName,Draw,SPFrom,SPTo,Age,Stone,Lbs,Favs,Aid,AgeWt,Jockey,Trainer,Allow
1,1,1,,6,Jena D'oudairies (FR),,2,5,6,11,5,Fav,,6 11-5,H Cobden,P F Nicholls,
2,1,2,3,1,Bellas Bridge,,7,2,6,11,5,2Fav,t   h1  ,6 11-5  t   h1,G Sheehan,Jamie Snowden,
3,1,3,3½,2,Benignitas,,16,1,8,11,5,,,8 11-5,Alan Johns,Gordon Treacy,
4,1,4,2¾,9,Edna E Mode,,66,1,4,10,7,,v  ,4 10-7  v,C Gethings,R Stephens,
5,1,5,3½,3,Carro Attrezzi,,40,1,5,11,5,,,5 11-5,Benjamin Poste,R Potter,
6,1,6,9,4,Clover Pass,,40,1,8,10,12,,,8 10-12,Murray Dodd,A Ralph,7
7,1,PU,,5,Gloria Gainer,,11,1,5,11,5,,,5 11-5,J J Burke,A Ralph,
8,1,PU,,7,Miss Tiara,,33,1,5,11,5,,,5 11-5,Rex Dingle,J Scott,
9,2,1,,2,Histrionic,,9,4,6,11,6,2Fav,t  ,6 11-6  t,H Cobden,P F Nicholls,
10,2,2,4¼,3,Newton Tornado (FR),,1,2,6,11,6,Fav,,6 11-6,S Bowen,Miss R Curtis,
11,2,3,¾,1,Gaelic Rambler,,8,1,5,11,6,,t1  ,5 11-6  t1,Jonjo O'Neill Jr.,Jonjo & A J O'Neill,
12,3,1,,6,Ask Brewster,,4,1,6,11,10,,,6 11-10,Adam Wedge,Evan Williams,
13,3,2,9½,1,Safe Destination,,11,2,7,11,7,,,7 11-7,Mr Toby McCain-Mitchell,N A Twiston-Davies,7
14,3,3,7,5,Militaire,,3,1,8,11,11,Fav,,8 11-11,Brendan Powell,W Greatrex,
15,3,4,40,8,Wot You Wearing,,20,1,8,10,12,,t   v  ,8 10-12  t   v,Sean Houlihan,R Stephens,
16,3,PU,,3,Castle Daragh,,22,1,8,11,12,,p  ,8 11-12  p,Jack Tudor,D Pipe,
17,3,F,,7,The Midwife,,7,2,7,10,11,,,7 10-11,Joe Anderson,G Harris,3
18,3,PU,,9,Dreams Of Diamonds,,10,3,8,10,5,2Fav,t   p  ,8 10-5  t   p,S Bowen,P & M Bowen,
19,4,1,,7,Greyval (FR),,5,1,6,11,4,,,6 11-4,J J Burke,F O'Brien,
20,4,2,½,4,Shantwopointfive,,5,2,7,11,4,Fav,,7 11-4,S Bowen,W Greatrex,
21,4,3,7,9,Dromlac Jury,,10,1,6,10,5,,,6 10-5,Benjamin Poste,T Symonds,
22,4,4,1¼,1,Pawapuri,,4,1,6,12,0,J2Fav,,6 12-0,Harry Skelton,D Skelton,
23,4,5,shd,5,Molto Bene,,4,1,6,11,4,J2Fav,t  ,6 11-4  t,Lily Pinchin,C E Longsdon,
24,4,6,1½,3,Ile De Jersey (FR),,20,1,7,11,11,,,7 11-11,N de Boinville,N J Henderson,
25,4,7,nk,8,Current Mood,,8,1,10,10,4,,,10 10-4,Isabel Williams,Evan Williams,3
26,5,1,,2,Torneo (FR),,9,4,5,11,10,JFav,,5 11-10,G Sheehan,Jamie Snowden,
27,5,2,5,1,Alien Storm,,5,1,7,12,1,,,7 12-1,David Bass,C E Longsdon,
28,5,3,18,5,Dj Pete,,40,1,7,10,8,,,7 10-8,David Noonan,S-J Davies,
29,5,4,6,3,The Gypsy Davey,,9,4,7,11,4,JFav,,7 11-4,Adam Wedge,Evan Williams,
30,5,U,,4,Sao Carlos,,11,4,7,11,3,,t  ,7 11-3  t,S Bowen,O Murphy,
31,6,1,,8,Yes And Yes,,8,1,8,10,9,,,8 10-9,Lee Edwards,B Clarke,
32,6,2,2½,2,Ideallko (FR),,11,4,7,11,11,2Fav,,7 11-11,Adam Wedge,Evan Williams,
33,6,3,½,6,Tribesmans Glory,,12,1,11,10,12,,,11 10-12,James Davies,C J Down,
34,6,4,8½,3,Kap Auteuil (FR),,12,1,10,11,11,,v  ,10 11-11  v,Tom Cannon,T Lawes,
35,6,5,1½,9,El Rojo Grande,,5,2,8,10,6,Fav,,8 10-6,G Sheehan,Katy Price,
36,6,6,1,4,Stony Man,,12,1,9,11,1,,p  ,9 11-1  p,Sean Clarke,R L Llewellyn,10
37,6,7,7,1,Monbari (FR),,5,1,7,12,0,,p  ,7 12-0  p,S Bowen,Miss R Curtis,
38,6,8,40,10,Side Stepper,,8,1,6,10,2,,,6 10-2  (oh 1),Jack Tudor,Christian Williams,
39,7,1,,7,Brecharnon (FR),,9,1,4,10,9,,,4 10-9,Jack Tudor,T H Weston,
40,7,2,1¾,5,Grand Garcon,,7,1,5,11,5,,,5 11-5,H Cobden,P F Nicholls,
41,7,3,½,1,Doctor Blue (FR),,5,4,5,11,9,Fav,,5 11-9,Dylan Johnston,S Thomas,3
42,7,4,hd,4,Emerald Breeze,,11,1,5,11,5,,,5 11-5,Thomas Bellamy,Dominic Elsworth,
43,7,5,2,9,Royale Blue,,50,1,4,10,2,,,4 10-2,David Noonan,N J Hawke,
44,7,6,nk,6,Karonacho (FR),,15,8,5,11,5,2Fav,,5 11-5,S Bowen,O Murphy,
45,7,7,10,8,Let's Getaway Love,,14,1,4,10,2,,,4 10-2,G Sheehan,P & M Bowen,
46,7,8,3,3,Aureus,,125,1,5,11,5,,,5 11-5,David Bass,Max Comley,
47,8,1,,2,Star Of Guiting,,1,2,4,11,2,Fav,,4 11-2,Jamie Brace,N A Twiston-Davies,5
48,8,2,nk,3,Mad Maxios,,2,1,4,11,0,2Fav,t1  ,4 11-0  t1,Paul O'Brien,Harry Derham,
49,8,3,3¼,4,Popa Rich,,12,1,4,10,9,,,4 10-9,Charlie Maggs,J Bedi,5
50,9,1,,3,Groovy Blue,,5,4,6,11,7,Fav,,6 11-7,Ben Jones,B Pauling,
51,9,2,2¼,5,Joining Force,,7,2,6,11,7,2Fav,,6 11-7,Liam Harrison,F O'Brien,
52,9,3,4¼,6,Mikimoto,,9,1,6,11,7,,v1  ,6 11-7  v1,James Best,M Keighley,
53,9,4,¾,1,Away For The Night,,15,2,6,11,7,,,6 11-7,Kielan Woods,A M Hales,
54,9,5,hd,2,El Rayo,,22,1,5,11,7,,,5 11-7,Bryan Carver,Billy Aprahamian,
55,9,6,1¾,4,Hung Jury,,5,1,10,10,11,,p  ,10 10-11  p,Freddie Keighley,M Keighley,10
56,9,7,15,8,Lady Fortune,,250,1,5,10,9,,t1  ,5 10-9  t1,Tom Broughton,Max Comley,5
57,9,8,11,7,Taymount,,12,1,5,11,4,,,5 11-4,Alice Stevens,Billy Aprahamian,3
58,10,1,,4,Too Cool Forshrule,,9,2,6,11,0,,,6 11-0,Henry Brooke,O Greenall & J Guerriero,
59,10,2,7½,3,Mutual Respect,,10,3,9,11,8,2Fav,t   p  ,9 11-8  t   p,Sam Twiston-Davies,Billy Aprahamian,
60,10,3,¾,6,Pittsburg,,11,2,9,10,8,,t  ,9 10-8  t,Conor Ring,R Potter,
61,10,4,17,2,Ballywood (FR),,7,1,11,11,5,,t   p  ,11 11-5  t   p,Tabitha Worsley,Georgie Howell,3
62,10,U,,1,Bold Jury,,11,1,5,12,0,,,5 12-0,B S Hughes,Paul Collins,
63,10,F,,5,Smart Casual,,15,8,7,10,12,Fav,t   p  ,7 10-12  t   p,R P McLernon,A J Honeyball,
64,11,1,,4,Let's Sail Away,,2,1,6,11,10,2Fav,p  ,6 11-10  p,Stan Sheppard,T Lacey,
65,11,2,17,2,Hardy Buck,,11,1,7,11,7,,,7 11-7,James Turner,Alexander Gibbons,5
66,11,3,2,1,Seek Him There,,85,40,6,12,0,,,6 12-0,J M Quinlan,B I Case,
67,11,PU,,3,Red Trail,,40,1,6,11,5,,t1  ,6 11-5  t1,Charlie Maggs,M E Sowersby,5
68,11,F,,5,Gms Prince,,15,8,10,10,12,Fav,t  ,10 10-12  t,Tabitha Worsley,Sarah Hollinshead,3
69,12,1,,4,Grangeclare Diego,,10,1,7,11,3,,t  ,7 11-3  t,Mr Paddy Barlow,J R Barlow,7
70,12,2,1¼,5,Ithaka,,15,2,9,11,8,,t  ,9 11-8  t,Conor Ring,R Potter,
71,12,3,1¼,3,Serious Chat,,13,2,6,11,11,,p  ,6 11-11  p,B S Hughes,D McCain Jnr,
72,12,4,7½,1,Springs A Girl,,17,2,6,11,7,,h  ,6 11-7  h,Daire James McConville,M Keighley,7
73,12,5,6,7,Geordie Night,,1,1,6,10,8,Fav,,6 10-8,Tom Broughton,N Kent,5
74,12,6,9,2,Wild Side Of Life,,11,2,7,11,12,2Fav,t1   p1  ,7 11-12  t1   p1,Danny McMenamin,L Morgan,
75,13,1,,1,Space Voyage,,5,1,8,12,2,,t   b1  ,8 12-2  t   b1,B S Hughes,O Murphy,
76,13,2,15,2,Lagonda,,6,1,10,11,6,,,10 11-6,Shane Quinlan,Miss V Williams,3
77,13,3,6,5,Flintara,,15,2,10,11,2,,p1  ,10 11-2  p1,Harry Bannister,R Bandey,
78,13,4,5½,4,Gazette Bourgeoise (FR),,4,1,9,11,2,2Fav,t   b  ,9 11-2  t   b,J M Quinlan,B I Case,
79,13,5,4¼,6,Another Day Out,,9,2,7,11,1,,h  ,7 11-1  h,James Best,M Keighley,
80,13,6,29,3,Moonlit Potter,,9,4,7,11,2,Fav,,7 11-2,Sam Twiston-Davies,H D Daly,
81,14,1,,1,Constantinian,,11,8,5,11,6,2Fav,t1  ,5 11-6  t1,Ben Jones,O Signy,
82,14,2,3,4,Shabalko D'herm (FR),,5,6,5,11,6,Fav,h1  ,5 11-6  h1,Sam Twiston-Davies,N A Twiston-Davies,
83,14,3,21,3,Osterberg,,8,1,5,10,10,,,5 10-10,Freddie Keighley,M Keighley,10
84,15,1,,1,Power Blue,7,5,2,2,9,7,2Fav,,2 9-7,D Egan,A Murray,
85,15,2,3¾,6,Slaney View,5,13,8,2,9,2,Fav,,2 9-2,R Coakley,J S Bolger,
86,15,3,3½,3,Army Leave,1,4,1,2,8,11,,,2 8-11,W Joyce,M Mulvany,5
87,15,4,3¼,2,Zaltan,2,12,1,2,9,7,,,2 9-7,J A Heffernan,Josh Halley,
88,15,5,1¾,4,Leblon Beach,3,15,2,2,9,2,,,2 9-2,W M Lordan,A Murray,
89,15,6,3,5,Ski Supreme,4,18,1,2,9,2,,,2 9-2,N M Crosse,R P Cody,
90,15,7,6,8,Venerated,6,25,1,2,8,11,,,2 8-11,M W Hassett,J A Berry,5
91,16,1,,3,Back Down Under,1,8,1,4,9,10,,,4 9-10,L F Roche,P Roche,
92,16,2,½,9,Dark Viper,12,7,1,4,9,5,,,4 9-5,S Foley,Mrs J Harrington,
93,16,3,1¼,1,Tai Tam Bay,9,9,1,4,9,4,,,4 9-4,Alexandra Egan,E & P Harty,10
94,16,4,nse,7,Catherine Chroi,7,25,1,7,9,6,,t   b  ,7 9-6  t   b,C T Keane,Ms Claire O'Connell,
95,16,5,½,11,Loingseoir,3,12,1,9,8,11,,t  ,9 8-11  t,Nicola Burns,M C Grassick,7
96,16,6,nk,10,New Theory,2,11,1,3,8,12,,,3 8-12,D S O'Sullivan,J A Stack,7
