Id,MainID,FPos,DistBtn,CardNo,HorseName,Draw,SPFrom,SPTo,Age,Stone,Lbs,Favs,Aid,AgeWt,Jockey,Trainer,Allow
1,1,1,,1,Dwight K Schrute,,11,4,6,11,7,JFav,,6 11-7,G Sheehan,Jamie Snowden,
2,1,2,1,8,Twist Of Fatecatch (FR),,14,1,5,11,4,,,5 11-4,Dylan Johnston,N P Mulholland,3
3,1,3,3½,11,Le Galli Bier (FR),,10,3,4,10,4,,,4 10-4,Freddie Mitchell,G & J Moore,5
4,1,4,15,7,Sonification,,11,4,7,11,7,JFav,,7 11-7,Paul O'Brien,Harry Derham,
5,1,5,3½,4,Lahinch Strand,,28,1,7,11,7,,,7 11-7,M G Nolan,J W Mullins,
6,1,6,12,3,John The Spark,,11,2,8,11,7,,,8 11-7,Brendan Powell,K Jewell,
7,1,7,2½,5,Ledders,,33,1,7,11,7,,t1  ,7 11-7  t1,James Davies,N J Gifford,
8,1,8,7½,9,Brenda,,250,1,5,11,0,,,5 11-0,C O'Farrell,N P Mulholland,
9,1,9,9½,10,Bradshaw,,50,1,4,10,9,,,4 10-9,N F Houlihan,G & J Moore,
10,1,PU,,2,Gamblergo,,8,1,6,11,7,,,6 11-7,Tom Cannon,T Lawes,
11,2,1,,4,Diplomatic Ash,,15,8,6,11,12,2Fav,t   p1  ,6 11-12  t   p1,Tom Cannon,G & J Moore,
12,2,2,1¾,3,A Moments Madness,,10,3,6,11,12,,,6 11-12,Paul O'Brien,W Greatrex,
13,2,3,14,2,Davidoc (FR),,7,4,7,11,13,Fav,t  ,7 11-13  t,Ben Jones,B Pauling,
14,2,4,6½,1,Flamelco (FR),,12,1,7,12,0,,t   h  ,7 12-0  t   h,David Noonan,Mrs S J Humphrey,
15,2,5,¾,5,Constant Friday,,10,1,10,9,13,,,10 9-13  (oh 1),Tabitha Worsley,R Rowe,3
16,3,1,,5,Continuance,,9,4,4,10,6,2Fav,h  ,4 10-6  h,Freddie Keighley,M Keighley,10
17,3,2,7½,4,Officer Of State,,7,4,6,11,3,Fav,,6 11-3,N F Houlihan,G & J Moore,
18,3,3,nk,1,Lunar Sovereign,,28,1,9,12,0,,t  ,9 12-0  t,C Gethings,Mrs S Leech,
19,3,4,8,3,Snapius,,7,1,6,11,0,,v  ,6 11-0  v,Ben Bromley,James Owen,5
20,3,5,4¼,2,Onewaywest,,11,4,6,11,12,,,6 11-12,Ben Jones,B Pauling,
21,4,1,,8,Military Tycoon,,5,1,5,10,10,,p  ,5 10-10  p,R P McLernon,N P Mulholland,
22,4,2,½,4,Ivane (FR),,5,2,7,11,3,Fav,p  ,7 11-3  p,Sam Twiston-Davies,James Owen,
23,4,3,6½,2,Proper Twelve,,13,2,7,11,10,,p1  ,7 11-10  p1,Ben Godfrey,A J Honeyball,
24,4,4,2¾,3,Kankin,,12,1,9,11,10,,p  ,9 11-10  p,Kielan Woods,A M Hales,
25,4,5,nse,12,Engaging Sam,,50,1,8,9,13,,p  ,8 9-13  (oh 1)   p,Luke Scott,P Butler,3
26,4,6,½,10,Eliza Dolittle,,10,1,7,10,4,,,7 10-4,Tabitha Worsley,N J Gifford,3
27,4,7,1½,1,Chankaya,,20,1,8,12,0,,p  ,8 12-0  p,Alan Johns,Tim Vaughan,
28,4,8,3¾,6,Senor Diaz,,9,2,6,11,0,2Fav,,6 11-0,M G Nolan,J W Mullins,
29,4,9,4¼,9,Ask Her Out,,9,1,7,10,10,,,7 10-10,Brendan Powell,Mrs R Ford,
30,4,10,nk,11,Millies Mite,,33,1,9,10,4,,t   h  ,9 10-4  t   h,M Goldstein,K Jewell,
31,4,PU,,5,Vendant,,11,1,7,11,2,,,7 11-2,N F Houlihan,R Rowe,
32,4,PU,,7,Autumn Philtre,,125,1,9,10,13,,p  ,9 10-13  p,Harry Kimber,P Butler,
33,5,1,,3,Leading Swoop,,11,4,9,11,8,JFav,b  ,9 11-8  b,Harry Kimber,R Walford,
34,5,2,5½,8,Elpologreg (FR),,4,1,6,9,11,,,6 9-11  (oh 1),Ellis Collier,J W Mullins,5
35,5,3,4,2,Hobb's Delight,,7,2,9,12,0,,p  ,9 12-0  p,C O'Farrell,N P Mulholland,
36,5,4,½,5,Ultra Viers,,28,1,9,11,2,,t  ,9 11-2  t,Harry Bannister,P Taylor,
37,5,5,14,4,Getupearly,,11,4,8,11,2,JFav,,8 11-2,M G Nolan,P Hobbs & J White,
38,5,6,9,7,Delgany Monarch,,20,1,10,10,11,,p1  ,10 10-11  p1,N F Houlihan,R Rowe,
39,5,F,,6,Nordic Storm,,17,2,6,11,1,,t   p  ,6 11-1  t   p,Brendan Powell,J Tizzard,
40,6,1,,2,Edward Sexton,,5,6,5,11,2,Fav,,5 11-2,Mr D H Dunsdon,G & J Moore,
41,6,2,1¾,1,Catchintsavo,,7,4,5,11,2,2Fav,,5 11-2,Sam Twiston-Davies,A J Honeyball,
