Id,Course,Date,Time,RaceDesc,Class,Age,PrizeMoney,Ran,Distance,Going
16, Hexham ,13-Mar-25,13:42,Major Family Law 16 Year Anniversary Maiden Hurdle (Novices' Championship Hurdle Qualifier) (GBB),4, 4YO plus ,"4,753",7,2m 48y,Good to Soft (Good in places)
17, Hexham ,13-Mar-25,14:22,Paxton's Are Case IH's No1 Dealer Handicap Chase (Go North Monet's Garden Series Qualifier),5, 5YO plus ,"5,255",11,2m 4f 15y,Good to Soft (Good in places)
18, Hexham ,13-Mar-25,15:02,BK Racing Hexham Marathon Handicap Chase (GBB Race),4, 5YO plus ,"7,657",10,3m 7f 199y,Good to Soft (Good in places)
19, Hexham ,13-Mar-25,15:42,Happy 40th Birthday Kerry Kirkham Maiden Hurdle (GBB Race),4, 4YO plus ,"4,901",8,2m 4f 28y,Good to Soft (Good in places)
20, Hexham ,13-Mar-25,16:22,Brocksbushes Handicap Chase,5, 5YO plus ,"5,255",12,3m 41y,Good to Soft (Good in places)
21, Hexham ,13-Mar-25,17:00,Download The Ne Bet App Today Conditional Jockeys' Handicap Hurdle (Go North Brindisi Breeze Qual'),5, 4YO plus ,"4,806",15,2m 7f 63y,Good to Soft (Good in places)
22, Newcastle ,13-Mar-25,16:50,Gamble Responsibly At BetUK Classified Stakes (Div 1),6, 4YO plus ,"3,140",7,1m 2f 42y,Standard (AW - Tapeta)
23, Newcastle ,13-Mar-25,17:30,Gamble Responsibly At BetUK Classified Stakes (Div 2),6, 4YO plus ,"3,140",6,1m 2f 42y,Standard (AW - Tapeta)
24, Newcastle ,13-Mar-25,18:00,Extra Winnings With BetUK Acca Club Handicap,6, 3YO only ,"4,711",9,5f,Standard (AW - Tapeta)
25, Newcastle ,13-Mar-25,18:30,BetMGM: It's Showtime Restricted Maiden Stakes (For horses In Bands C And D) (GBB Race),5, 3YO to 5YO ,"3,942",6,7f 14y,Standard (AW - Tapeta)
26, Newcastle ,13-Mar-25,19:00,Best Odds Guaranteed At BetMGM Handicap,4, 4YO plus ,"4,972",10,7f 14y,Standard (AW - Tapeta)
27, Newcastle ,13-Mar-25,19:30,£30 In Free Bets With BetUK Handicap,4, 4YO plus ,"4,972",8,5f,Standard (AW - Tapeta)
28, Newcastle ,13-Mar-25,20:00,Free Bets With BetUK Bet Club Handicap,4, 4YO plus ,"4,972",4,6f,Standard (AW - Tapeta)
29, Newcastle ,13-Mar-25,20:30,Boost Your Acca At BetMGM Handicap,6, 4YO plus ,"4,711",9,1m 5y,Standard (AW - Tapeta)
30, Limerick (IRE) ,13-Mar-25,12:30,AOS Security Hurdle,,4YO only ,"8,100",12,2m 50y,Yielding
31, Limerick (IRE) ,13-Mar-25,13:00,Irish Stallion Farms EBF Shannon Spray Mares Novice Hurdle (Grade 3),1, 4YO plus ,"18,300",11,2m 6f 150y,Yielding
32, Limerick (IRE) ,13-Mar-25,13:34,Lynch Quarries Handicap Hurdle,, 4YO plus ,"6,000",18,2m 6f 150y,Yielding
33, Limerick (IRE) ,13-Mar-25,14:14,John Buckley Engineering Ltd. Maiden Hurdle,,5YO plus ,"7,200",8,3m,Yielding
34, Limerick (IRE) ,13-Mar-25,14:54,Ryans Cleaning Novice Handicap Chase,,5YO plus ,"8,700",6,2m 1f 200y,Good to Yielding
35, Limerick (IRE) ,13-Mar-25,15:34,Ryans Cleaning Veterans Handicap Chase,,10YO plus ,"9,600",7,2m 6f 170y,Good to Yielding
36, Limerick (IRE) ,13-Mar-25,16:14,McDermotts Gala Patrickswell Handicap Chase,, 4YO plus ,"6,000",15,2m 6f 170y,Good to Yielding
37, Limerick (IRE) ,13-Mar-25,16:54,Irish Stallion Farms EBF (Pro/Am) Auction Flat Race (IRE Incentive Race),, 4YO plus ,"9,000",12,2m 50y,Yielding
