Id,Course,Date,Time,RaceDesc,Class,Age,PrizeMoney,Ran,Distance,Going
1, Chelmsford City ,13-Mar-25,17:05,bet365 Amateur Jockeys' Handicap,6, 4YO plus ,"3,477",10,7f,Standard (AW - Polytrack)
2, Chelmsford City ,13-Mar-25,17:45,It's Never Ordinary At bet365 Fillies' Novice Stakes (GBB Race),5, 3YO plus ,"4,187",10,7f,Standard (AW - Polytrack)
3, Chelmsford City ,13-Mar-25,18:15,Bet Boost At bet365 Handicap,6, 4YO plus ,"3,664",6,6f,Standard (AW - Polytrack)
4, Chelmsford City ,13-Mar-25,18:45,Each Way Extra At bet365 Handicap,4, 4YO plus ,"5,757",5,5f,Standard (AW - Polytrack)
5, Chelmsford City ,13-Mar-25,19:15,Racing Value At bet365 Handicap (GBBPlus Race),3, 4YO plus ,"7,851",10,1m 2f,Standard (AW - Polytrack)
6, Chelmsford City ,13-Mar-25,19:45,Best Odds Guaranteed At bet365 Handicap,5, 4YO plus ,"4,711",9,1m 2f,Standard (AW - Polytrack)
7, Chelmsford City ,13-Mar-25,20:15,Download The bet365 App Handicap,5, 4YO plus ,"4,711",6,1m,Standard (AW - Polytrack)
8, Cheltenham ,13-Mar-25,13:20,Ryanair Mares' Novices' Hurdle (Grade 2) (Registered As The Dawn Run Mares' Novices' Hurdle) (GBB),1, 4YO plus ,"59,084",23,2m 179y,Good to Soft
9, Cheltenham ,13-Mar-25,14:00,Jack Richards Novices' Limited Handicap Chase (Grade 2) (Registered As The Golden Miller) (GBB Race),1, 5YO plus ,"64,300",19,2m 4f 127y,Good to Soft
10, Cheltenham ,13-Mar-25,14:40,Pertemps Network Final Handicap Hurdle (Premier Handicap) (GBB Race),1, 5YO plus ,"61,897",24,2m 7f 213y,Good to Soft
11, Cheltenham ,13-Mar-25,15:20,Ryanair Chase (Registered As The Festival Trophy) (Grade 1) (GBB Race),1, 5YO plus ,"211,012",9,2m 4f 127y,Good to Soft
12, Cheltenham ,13-Mar-25,16:00,Paddy Power Stayers' Hurdle (Grade 1) (GBB Race),1, 4YO plus ,"182,878",13,2m 7f 213y,Good to Soft
13, Cheltenham ,13-Mar-25,16:40,TrustATrader Plate Handicap Chase (Premier Handicap) (GBB Race),1, 5YO plus ,"84,405",20,2m 4f 127y,Good to Soft
14, Cheltenham ,13-Mar-25,17:20,Fulke Walwyn Kim Muir Challenge Cup Amateur Jockeys' Handicap Chase (Spon By Thames Materials) (GBB),2, 5YO plus ,"36,668",23,3m 2f,Good to Soft
15, Hexham ,13-Mar-25,13:05,Welcome To Britain's Most Scenic Racecourse Novices' Limited Handicap Hurdle,5, 4YO plus ,"4,806",13,2m 48y,Good to Soft (Good in places)
