Id,MainID,FPos,DistBtn,CardNo,HorseName,Draw,SPFrom,SPTo,Age,Stone,Lbs,Favs,Aid,AgeWt,Jockey,Trainer,Allow
1,1,1,,2,Bel Amigo (FR),,1,4,6,11,12,Fav,t  ,6 11-12  t,Bruce Lynn,N W Alexander,
2,1,2,5½,7,Kanitamay (FR),,100,1,5,10,5,,,5 10-5,Jack Power,Miss Lucinda V Russell,7
3,1,3,3¾,3,Blazing Court,,5,1,7,10,12,2Fav,,7 10-12,Mr John Dixon,J E Dixon,7
4,1,4,8,4,Man Of Action,,25,1,5,11,5,,,5 11-5,Craig Nichol,Gary Rutherford,
5,1,5,22,5,Supreme George,,15,2,5,11,5,,h1  ,5 11-5  h1,B S Hughes,D McCain Jnr,
6,1,PU,,6,Team Endeavour,,150,1,6,11,5,,,6 11-5,Lorcan Murtagh,F P Murtagh,
7,2,1,,7,Raffles Wonder (FR),,9,1,8,10,8,,t   h  ,8 10-8  t   h,Nathan Moscrop,R Menzies,
8,2,2,5,5,Captain Ivan,,9,1,11,11,2,,t   p  ,11 11-2  t   p,Craig Nichol,Ewan Whillans,
9,2,3,2¼,1,Grain D'oudairies (FR),,15,2,9,12,0,,t  ,9 12-0  t,B S Hughes,D McCain Jnr,
10,2,4,9,6,Heritier (FR),,9,1,8,10,12,,t   p1  ,8 10-12  t   p1,Sean Quinlan,Lizzie Quinlan,
11,2,5,4¾,10,Fearless Action,,9,2,9,10,3,2Fav,p  ,9 10-3  p,G Sheehan,C Grant,
12,2,6,5,2,Glory And Honour,,10,3,9,11,10,Fav,t   p  ,9 11-10  t   p,Jonathan England,S England,
13,2,7,3¾,11,Sword Of Fate,,66,1,12,10,2,,,12 10-2,C O'Farrell,L Kerr,
14,2,8,2,8,Treaty Boy,,11,2,8,10,5,,t  ,8 10-5  t,Peter Kavanagh,W Coltherd,3
15,2,PU,,3,Carcaci Castle,,11,1,9,11,10,,t   p  ,9 11-10  t   p,Ryan Mania,A M Thomson,
16,2,PU,,4,Five Dollar Fine,,15,2,10,11,9,,,10 11-9,Danny McMenamin,Mrs A Hamilton,
17,3,1,,4,Red Happy (FR),,5,1,8,11,10,2Fav,,8 11-10,Jonathon Bewley,G Bewley,
18,3,2,2,5,Busty Boy,,10,1,8,11,8,,,8 11-8,Craig Nichol,D Bourke,
19,3,3,2¼,2,Breakdance Kid,,14,1,7,11,11,,p  ,7 11-11  p,Sam Coltherd,W Coltherd,
20,3,4,3¾,3,One More Stroke,,7,1,6,11,10,,t  ,6 11-10  t,B S Hughes,D McCain Jnr,
21,3,5,4¼,11,Emotional Roller,,7,2,7,9,13,Fav,p1  ,7 9-13  (oh 2)   p1,Peter Kavanagh,Mrs S J Smith,3
22,3,6,17,12,Uptown Harry,,11,1,11,9,11,,b  ,11 9-11  (oh 3)   b,Charlie Maggs,Mrs J M Walton,5
23,3,7,4,10,Jamesieconn,,13,2,6,10,2,,t   p1  ,6 10-2  (oh 1)   t   p1,Jonathan England,S England,
24,3,8,2¼,6,Monochromix (FR),,16,1,7,11,6,,b  ,7 11-6  b,P W Wadge,Miss Lucinda V Russell,
25,3,9,4¾,9,Ribeye,,15,2,10,10,4,,,10 10-4,Danny McMenamin,P G Atkinson,
26,3,10,12,15,Euchan Falls,,33,1,8,10,2,,v  ,8 10-2  (oh 13)   v,Nathan Moscrop,R M Smith,
27,3,11,21,1,East Street,,16,1,9,12,0,,b  ,9 12-0  b,G Sheehan,James Owen,
28,3,PU,,8,Harjo,,16,1,8,11,2,,b  ,8 11-2  b,H Cobden,C E Longsdon,
29,3,PU,,13,The Jad Factor,,22,1,9,9,9,,t   p  ,9 9-9  (oh 4)   t   p,Lewis Dobb,A M Thomson,7
30,3,PU,,16,Wotsmyname,,50,1,8,10,2,,p  ,8 10-2  (oh 17)   p,C O'Farrell,L Kerr,
31,4,1,,9,Hello Judge,,11,2,9,10,7,,t  ,9 10-7  t,Danny McMenamin,Mrs A Hamilton,
32,4,2,1¾,5,Ganapathi (FR),,16,1,9,10,12,,p  ,9 10-12  p,Ryan Mania,A M Thomson,
33,4,3,5½,2,Yealand,,10,3,6,11,3,Fav,,6 11-3,Sean Quinlan,J Candlish,
34,4,4,shd,11,Sean Og,,9,2,7,9,12,2Fav,,7 9-12,William Maggs,Mrs Dianne Sayer,5
35,4,5,nk,7,High Moon,,11,2,10,10,2,,v  ,10 10-2  v,Charlie Maggs,R Menzies,5
36,4,6,7,6,Artic Row,,12,1,8,10,12,,t  ,8 10-12  t,C O'Farrell,N W Alexander,
37,4,7,12,3,Half Shot,,14,1,11,11,1,,b  ,11 11-1  b,B S Hughes,I Jardine,
38,4,8,39,12,Whoshotthesheriff,,12,1,11,9,13,,t   p  ,11 9-13  (oh 5)   t   p,Peter Kavanagh,Lizzie Quinlan,3
39,4,F,,8,Indian Louis,,5,1,7,10,7,,t  ,7 10-7  t,P W Wadge,Miss Lucinda V Russell,
40,5,1,,3,Credo,,11,8,10,10,10,Fav,t   v  ,10 10-10  t   v,H Cobden,A J Honeyball,
41,5,2,1¾,4,Dubai Days,,9,4,11,10,7,2Fav,t   h  ,11 10-7  t   h,Bruce Lynn,N W Alexander,
42,5,3,8,1,Does He Know,,11,4,10,12,0,,p  ,10 12-0  p,Thomas Bellamy,K Bailey & M Nicholls,
43,5,4,32,2,Cloudy Glen,,11,1,12,11,5,,p  ,12 11-5  p,Charlie Deutsch,Miss V Williams,
44,6,1,,4,Powerofjet,,11,2,6,11,3,,,6 11-3,Sean Quinlan,M Todhunter,
45,6,2,2½,5,Tread Softly Now,,14,1,6,10,13,,p  ,6 10-13  p,Alan Doyle,I A Duncan,3
46,6,3,hd,2,Follow Charlie,,4,1,6,12,0,2Fav,p  ,6 12-0  p,G Sheehan,R M Smith,
47,6,4,2,1,Simply Red,,5,1,7,11,9,,t   p  ,7 11-9  t   p,William Maggs,B Ellison,5
48,6,5,1¼,8,Balranald (FR),,10,1,9,10,8,,p  ,9 10-8  p,Jamie Hamilton,Mrs A C Hamilton,
49,6,6,1¼,3,Marty Mcfly,,13,2,7,11,9,,,7 11-9,Ryan Mania,A M Thomson,
50,6,7,7,9,Mullins Cross,,22,1,9,10,8,,,9 10-8,Craig Nichol,R M Smith,
51,6,8,1½,6,Palm Beach,,8,1,8,10,8,,,8 10-8,Mr John Dixon,J E Dixon,7
52,6,9,32,7,Trafalgar Square,,18,5,4,10,11,Fav,t   p  ,4 10-11  t   p,Henry Brooke,O Greenall & J Guerriero,
53,7,1,,2,Kayf Dancer,,1,14,7,11,7,Fav,,7 11-7,M G Nolan,P Hobbs & J White,
54,7,2,19,4,Thankyouandplease (FR),,17,2,5,11,7,2Fav,,5 11-7,James Best,Anthony Charlton,
55,7,3,65,3,Rockbeare,,18,1,6,11,7,,,6 11-7,David Noonan,Gordon Treacy,
56,8,1,,1,Coconut Twist,,9,4,7,11,7,2Fav,b  ,7 11-7  b,Mr Robbie David,Daisy Hitchins,7
57,8,2,4¼,3,Special John,,6,5,6,11,5,Fav,,6 11-5,Callum Pritchard,C J Down,5
58,8,3,7,6,Miss Popalong,,12,1,6,10,11,,h  ,6 10-11  h,M G Nolan,P Hobbs & J White,
59,8,4,24,4,Low Expectations,,16,1,5,11,8,,h  ,5 11-8  h,James Davies,N J Gifford,
60,8,5,12,7,Wearapinkribbon,,9,2,9,10,10,,v  ,9 10-10  v,David Bass,Max Comley,
61,8,6,10,5,The Questioner,,16,1,9,11,4,,b1  ,9 11-4  b1,Toby Wynne,O Greenall & J Guerriero,3
62,9,1,,2,Blacksamssenorita,,1,4,6,11,4,Fav,,6 11-4,Brendan Powell,J Tizzard,
63,9,2,12,6,La Cantate (FR),,7,1,4,10,8,,,4 10-8,R Patrick,C Boultbee-Brooks,
64,9,3,7½,3,Kissininthebackrow,,5,1,6,11,1,2Fav,,6 11-1,Luke Scott,Dr R Newland & J Insole,3
65,9,4,7,1,Bellever Tor,,125,1,6,11,4,,,6 11-4,Benjamin Poste,P Gundry,
66,9,5,14,4,Sweet Serene,,40,1,5,11,1,,,5 11-1,Tabitha Worsley,Georgie Howell,3
67,10,1,,3,Yes Day,,10,3,7,11,7,,,7 11-7,R P McLernon,Jonjo & A J O'Neill,
68,10,2,2,5,Planned Paradise,,2,1,9,10,12,Fav,,9 10-12,Jack Tudor,Christian Williams,
69,10,3,4,6,Concetto (FR),,5,2,8,10,5,2Fav,t   p  ,8 10-5  t   p,Ben Smith,O Greenall & J Guerriero,7
70,10,4,11,4,Musical Slave,,3,1,12,11,0,,b  ,12 11-0  b,M G Nolan,P Hobbs & J White,
71,11,1,,1,Minniemum,,85,40,8,11,4,Fav,,8 11-4,Sam Twiston-Davies,H D Daly,
72,11,2,19,2,Micronormous,,9,4,7,11,4,2Fav,t   b  ,7 11-4  t   b,Jack Tudor,D Pipe,
73,11,3,18,3,River Tyne,,5,1,10,11,3,,,10 11-3,James Davies,N J Gifford,
74,11,4,hd,4,Fortunefavorsdbold,,11,4,7,11,2,,,7 11-2,Adam Wedge,Christian Williams,
75,12,1,,4,Amatchmadeinheaven,,7,4,4,10,9,Fav,,4 10-9,Miss Amber Jackson-Fennell,Miss Jackson-fennell,7
76,12,2,1½,1,Couer D'alene,,15,8,5,11,12,2Fav,,5 11-12,Mr Zac Baker,C R Barber,
77,12,3,¾,3,Lady Kloppenheim,,9,2,5,11,0,,,5 11-0,Mr Robbie David,H Ryall,5
78,12,4,9,2,Caracara,,11,2,5,10,12,,,5 10-12,Mr Jack Stenhouse,Mrs Teresa Clark,7
79,13,1,,1,Jalila Moriviere (FR),,4,9,6,11,7,Fav,t1  ,6 11-7  t1,M P Walsh,W P Mullins,
80,13,2,3,3,Mongibello,,15,8,7,11,7,2Fav,,7 11-7,J J Slevin,S R B Crawford,
81,13,3,30,2,Lep Around,,25,1,7,11,2,,,7 11-2,J P Shinnick,Miss M Harding,5
82,14,1,,13,Siege Ofjadotville,,25,1,5,10,7,,,5 10-7,R A Berry,M Hassett,2
83,14,2,1¾,3,The Nagger Reidy,,10,3,6,11,8,Fav,,6 11-8,Eoin G Kelly,Stephen G Carey,2
84,14,3,2¾,4,Ellaat,,11,2,9,11,5,,,9 11-5,Kevin A Murphy,Ian O'Connor,4
85,14,4,½,9,The Truant,,13,2,8,11,1,,t  ,8 11-1  t,B P Kennedy,P W Flynn,2
86,14,5,¾,12,Royal Reprobate,,12,1,5,11,0,,,5 11-0,T P Harney,R O'Sullivan,
87,14,6,¾,8,Harry's Dream,,5,1,5,11,2,J2Fav,,5 11-2,Caragh Monaghan,P J Rothwell,2
88,14,7,4½,6,Falcon Park,,17,2,9,11,5,,p  ,9 11-5  p,Cian Cullinan,J J Hanlon,
89,14,8,¾,2,Drop The Anchor,,10,1,11,11,10,,v  ,11 11-10  v,H E Sexton,P A Fahy,
90,14,9,21,5,Kingdom Calling (FR),,33,1,5,11,6,,t   h  ,5 11-6  t   h,S Cleary-Farrell,E McCarthy,
91,14,10,8,7,Mujeres Isla,,40,1,5,11,5,,,5 11-5,P M O'Brien,R Tyner,
92,14,11,6½,11,Mattie's Mountain,,50,1,10,11,0,,,10 11-0,R P Geoghegan,T P O'Connor,
93,14,12,20,1,Semblance Of Order,,5,1,5,11,10,J2Fav,,5 11-10,F Brickley,A Oliver,2
94,14,PU,,15,Rene Artois,,80,1,6,9,12,,t   b1  ,6 9-12  (oh 10)   t   b1,E M O'Sullivan,J Nash,2
95,15,1,,6,Dr Eggman (FR),,3,1,7,11,12,,,7 11-12,P Townend,W P Mullins,
96,15,2,1½,8,Good N' Kind,,11,8,6,11,12,Fav,,6 11-12,Rachael Blackmore,H De Bromhead,
97,15,3,23,13,Promontory,,16,1,8,11,7,,,8 11-7,A P Kelly,Sarah Connell,5
98,15,4,30,2,Ballykinlar,,100,1,6,11,12,,t  ,6 11-12  t,A McCurtin,Donncha Duggan,
