Id,Course,Date,Time,RaceDesc,Class,Age,PrizeMoney,Ran,Distance,Going
18, Newbury ,21-Mar-25,16:02,BetVictor A Run For Your Money At Handicap Chase (GBB Race),4, 5YO plus ,"6,865",6,2m 6f 93y,Good to Soft (Good in places)
19, Newbury ,21-Mar-25,16:37,BetVictor Home Of The Saturday Superboost Handicap Hurdle,4, 4YO plus ,"5,809",14,3m 52y,Good to Soft (Good in places)
20, Newbury ,21-Mar-25,17:10,Ultimate Travel Company Open Hunters' Chase,5, 6YO plus ,"3,336",5,2m 7f 86y,Good to Soft (Good in places)
21, Southwell ,21-Mar-25,16:55,£30 In Free Bets With BetUK Apprentice Handicap,6, 4YO plus ,"3,140",10,1m 4f 14y,Standard (AW - Tapeta)
22, Southwell ,21-Mar-25,17:25,Boost Your Acca At BetMGM Novice Stakes (GBB Race),5, 3YO plus ,"3,942",10,1m 13y,Standard (AW - Tapeta)
23, Southwell ,21-Mar-25,18:00,Win £1M With BetMGM's Golden Goals Handicap (Div 1),6, 4YO plus ,"4,711",8,1m 13y,Standard (AW - Tapeta)
24, Southwell ,21-Mar-25,18:30,Win £1M With BetMGM's Golden Goals Handicap (Div 2),6, 4YO plus ,"4,711",8,1m 13y,Standard (AW - Tapeta)
25, Southwell ,21-Mar-25,19:00,Weekly Free Bets With BetMGM Extra Handicap,3, 4YO plus ,"7,956",7,7f 14y,Standard (AW - Tapeta)
26, Southwell ,21-Mar-25,19:30,Best Odds Guaranteed At BetMGM Handicap,4, 4YO plus ,"4,972",12,7f 14y,Standard (AW - Tapeta)
27, Southwell ,21-Mar-25,20:00,Gamble Responsibly At BetUK Handicap,6, 4YO plus ,"3,140",10,2m 102y,Standard (AW - Tapeta)
28, Southwell ,21-Mar-25,20:30,Free Bets With BetUK Bet Club Handicap,4, 4YO plus ,"4,972",9,4f 214y,Standard (AW - Tapeta)
29, Dundalk (IRE) ,21-Mar-25,16:45,Dundalk Stadium Winter Series Awards Day Handicap,,3YO plus ,"12,000",8,5f,Standard (AW - Polytrack)
30, Dundalk (IRE) ,21-Mar-25,17:15,Dundalk Stadium Winter Series Awards Day Handicap,, 3YO plus ,"12,000",11,6f,Standard (AW - Polytrack)
31, Dundalk (IRE) ,21-Mar-25,17:45,Irish Stallion Farms EBF Median Auction Maiden (Median Auction Race),,3YO only ,"9,600",14,7f,Standard (AW - Polytrack)
32, Dundalk (IRE) ,21-Mar-25,18:15,Dundalk Stadium Winter Series Champion Trainer Handicap,,3YO only ,"12,000",11,7f,Standard (AW - Polytrack)
33, Dundalk (IRE) ,21-Mar-25,18:45,Dundalk Stadium Winter Series Champion Jockey Handicap,,4YO plus ,"12,000",8,7f,Standard (AW - Polytrack)
34, Dundalk (IRE) ,21-Mar-25,19:15,Dundalk Stadium Winter Series Awards Day Handicap,, 4YO plus ,"12,000",13,1m,Standard (AW - Polytrack)
35, Dundalk (IRE) ,21-Mar-25,19:45,Dundalk Stadium Winter Series Awards Day Handicap,,4YO plus ,"12,000",14,1m 2f 150y,Standard (AW - Polytrack)
36, Dundalk (IRE) ,21-Mar-25,20:15,Dundalk Stadium Winter Series Awards Day Handicap,, 4YO plus ,"12,000",14,1m 4f,Standard (AW - Polytrack)
