Id,Course,Date,Time,RaceDesc,Class,Age,PrizeMoney,Ran,Distance,Going
1, Ffos Las ,21-Mar-25,14:08,3A's Leisure Caravans And Motorhomes Conditional Jockeys' Mares' Handicap Hurdle,5, 4YO plus ,"3,248",7,2m 4f,Good (Good to Soft in places)
2, Ffos Las ,21-Mar-25,14:40,Paned @ 3A's Coffee Shop Novices' Hurdle (GBB Race),4, 4YO plus ,"4,193",5,2m 4f,Good (Good to Soft in places)
3, Ffos Las ,21-Mar-25,15:10,3A's Horse Box Hire And Sales Mares' Handicap Chase,5, 5YO plus ,"3,248",6,2m 3f 83y,Good (Good to Soft in places)
4, Ffos Las ,21-Mar-25,15:40,"Amroth Bay Caravan Park ""West Wales National"" Handicap Chase (GBB Race)",3, 5YO plus ,"9,242",8,2m 7f 177y,Good (Good to Soft in places)
5, Ffos Las ,21-Mar-25,16:15,Alison Thorpe Racing Handicap Hurdle,4, 4YO plus ,"4,066",9,1m 7f 182y,Good (Good to Soft in places)
6, Ffos Las ,21-Mar-25,16:50,3A's Motorhome Hire Open Maiden National Hunt Flat Race (Category 3 Elimination) (GBB Race),5, 4YO to 6YO ,"2,376",5,1m 7f 182y,Good (Good to Soft in places)
7, Musselburgh ,21-Mar-25,14:20,Ladbrokes Best Odds Guaranteed On Racing Maiden Hurdle (GBB Race),4, 4YO plus ,"4,357",6,2m 1f 87y,Good to Soft (Good in places)
8, Musselburgh ,21-Mar-25,14:50,Racing Post Go North Handicap Hurdle,5, 4YO plus ,"4,225",9,2m 3f 171y,Good to Soft (Good in places)
9, Musselburgh ,21-Mar-25,15:20,Ladbrokes Go North Grey Bomber Juvenile Hurdle Series Final (Handicap Hurdle) (GBB Race),2, 4YO only ,"15,609",6,2m 1f 87y,Good to Soft (Good in places)
10, Musselburgh ,21-Mar-25,15:50,Racing Post Go North Lady Buttons Mares' Hurdle Series Final (Handicap Hurdle) (NHMOPS Bonus) (GBB),2, 4YO plus ,"15,609",8,2m 3f 171y,Good to Soft (Good in places)
11, Musselburgh ,21-Mar-25,16:25,Ladbrokes Go North Brindisi Breeze Hurdle Series Final (Handicap Hurdle) (GBB Race),2, 4YO plus ,"15,609",15,2m 7f 180y,Good to Soft (Good in places)
12, Musselburgh ,21-Mar-25,17:00,Racing Post Go North Sea Pigeon Hurdle Series Final (Handicap Hurdle) (GBB Race),2, 4YO plus ,"15,609",12,2m 1f 87y,Good to Soft (Good in places)
13, Musselburgh ,21-Mar-25,17:30,Ladbrokes Get Rewarded With Ladbucks Mares' Open National Hunt Flat Race (Cat 2 Elimination) (GBB),4, 4YO to 6YO ,"4,357",7,2m 1f 87y,Good to Soft (Good in places)
14, Newbury ,21-Mar-25,13:55,Watch Weekend Winners Powered By BetVictor Novices' Hurdle (GBB Race),3, 4YO plus ,"5,446",5,2m 4f 118y,Good to Soft (Good in places)
15, Newbury ,21-Mar-25,14:30,Focus Novices' Limited Handicap Chase (For The Brown Chamberlin Trophy) (GBB Race),3, 5YO plus ,"10,562",7,2m 7f 86y,Good to Soft (Good in places)
16, Newbury ,21-Mar-25,15:00,Get Best Odds Guaranteed At BetVictor Handicap Hurdle,3, 4YO plus ,"8,450",9,2m 69y,Good to Soft (Good in places)
17, Newbury ,21-Mar-25,15:30,Ultimate Travel Company Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier),3, 4YO plus ,"8,450",6,3m 52y,Good to Soft (Good in places)
