Id,MainID,FPos,DistBtn,CardNo,HorseName,Draw,SPFrom,SPTo,Age,Stone,Lbs,Favs,Aid,AgeWt,Jockey,Trainer,Allow
1,1,1,,10,The New Lion,,3,1,6,11,7,,,6 11-7,Harry Skelton,D Skelton,
2,1,2,¾,11,The Yellow Clay,,5,2,6,11,7,2Fav,,6 11-7,J W Kennedy,G Elliott,
3,1,3,4¾,1,Final Demand,,6,4,6,11,7,Fav,,6 11-7,P Townend,W P Mullins,
4,1,4,9½,2,Forty Coats,,150,1,6,11,7,,,6 11-7,D J O'Keeffe,H De Bromhead,
5,1,5,2¾,7,Potters Charm,,12,1,6,11,7,,t1  ,6 11-7  t1,Sam Twiston-Davies,N A Twiston-Davies,
6,1,6,9½,4,Kappa Jy Pyke (FR),,100,1,5,11,7,,,5 11-7,S F O'Keeffe,W P Mullins,
7,1,7,10,6,Kiss Will (FR),,50,1,5,11,7,,,5 11-7,Mr P W Mullins,W P Mullins,
8,1,8,7,5,Kel Histoire (FR),,33,1,5,11,7,,,5 11-7,M P Walsh,W P Mullins,
9,1,9,25,8,Sixmilebridge,,16,1,6,11,7,,t  ,6 11-7  t,Kielan Woods,F O'Brien,
10,1,PU,,3,Kaid D'authie (FR),,40,1,5,11,7,,,5 11-7,B Hayes,W P Mullins,
11,1,PU,,9,Supersundae (FR),,50,1,6,11,7,,h  ,6 11-7  h,D E Mullins,W P Mullins,
12,2,1,,5,Lecky Watson,,20,1,7,11,7,,,7 11-7,S F O'Keeffe,W P Mullins,
13,2,2,4,7,Stellar Story,,22,1,8,11,7,,p  ,8 11-7  p,D J Gilligan,G Elliott,
14,2,3,hd,2,Better Days Ahead,,13,2,7,11,7,2Fav,t  ,7 11-7  t,J W Kennedy,G Elliott,
15,2,4,4¼,4,Gorgeous Tom,,11,1,7,11,7,,,7 11-7,D J O'Keeffe,H De Bromhead,
16,2,5,shd,1,Ballyburn,,4,7,7,11,7,Fav,,7 11-7,P Townend,W P Mullins,
17,2,6,19,3,Dancing City (FR),,8,1,8,11,7,,,8 11-7,D E Mullins,W P Mullins,
18,2,U,,6,Quai De Bourbon (FR),,14,1,6,11,7,,,6 11-7,Mr P W Mullins,W P Mullins,
19,3,1,,6,Jimmy Du Seuil (FR),,16,1,6,11,7,,,6 11-7,D E Mullins,W P Mullins,
20,3,2,3,11,Impose Toi (FR),,13,2,7,11,2,,p1  ,7 11-2  p1,N de Boinville,N J Henderson,
21,3,3,1,2,Ballyadam,,16,1,10,11,12,,t  ,10 11-12  t,Rachael Blackmore,H De Bromhead,
22,3,4,1¼,24,Beat The Bat,,11,2,7,10,8,J2Fav,,7 10-8,Bryan Carver,H Fry,
23,3,5,hd,5,Colonel Mustard (FR),,25,1,10,11,2,,,10 11-2,Tiernan Power Roche,L Fowler,5
24,3,6,1,12,Beckett Rock,,28,1,6,11,1,,,6 11-1,D J O'Keeffe,H De Bromhead,
25,3,7,½,8,Beacon Edge,,80,1,11,11,6,,b  ,11 11-6  b,D J Gilligan,G Elliott,
26,3,8,1,17,Be Aware (FR),,3,1,6,10,12,Fav,,6 10-12,Harry Skelton,D Skelton,
27,3,9,¾,10,Staffordshire Knot,,40,1,7,11,4,,b1  ,7 11-4  b1,Sam Ewing,G Elliott,
28,3,10,1¼,4,Sandor Clegane,,20,1,8,11,8,,t   b  ,8 11-8  t   b,S F O'Keeffe,P Nolan,
29,3,11,3½,3,Eagle Fang,,33,1,5,11,3,,,5 11-3,Oakley Brown,W Durkan,5
30,3,12,1¼,16,Might I,,28,1,9,10,12,,t   p  ,9 10-12  t   p,S Bowen,H Fry,
31,3,13,3¼,9,Al Gasparo (FR),,25,1,6,11,5,,t  ,6 11-5  t,K M Donoghue,G P Cromwell,
32,3,14,1¾,26,Ike Sport (FR),,33,1,7,10,6,,t   p  ,7 10-6  t   p,C O'Farrell,N P Mulholland,
33,3,15,½,14,King Alexander,,66,1,7,10,12,,,7 10-12,B Hayes,W P Mullins,
34,3,16,2¼,22,Minella Missile,,40,1,7,10,8,,,7 10-8,Adam Wedge,Evan Williams,
35,3,17,1,18,Samui,,28,1,6,10,11,,t   p  ,6 10-11  t   p,J C Gainford,G Elliott,
36,3,18,2¼,7,Sa Fureur,,25,1,8,11,6,,,8 11-6,J W Kennedy,G Elliott,
37,3,19,2½,25,Jipcot (FR),,14,1,6,10,6,,t  ,6 10-6  t,Kielan Woods,Jonjo & A J O'Neill,
38,3,20,15,20,Lossiemouth,,66,1,10,10,8,,p  ,10 10-8  p,Stan Sheppard,P Gundry,
39,3,21,9½,15,Comfort Zone,,11,2,6,10,12,J2Fav,b  ,6 10-12  b,M P Walsh,J P O'Brien,
40,3,22,18,23,Vischio,,33,1,8,10,8,,t   h  ,8 10-8  t   h,D Meyler,E Mullins,
41,3,PU,,1,Maxxum,,28,1,8,11,9,,,8 11-9,James Smith,G Elliott,5
42,3,PU,,13,Bunting (FR),,12,1,5,11,0,,,5 11-0,P Townend,W P Mullins,
43,3,PU,,19,Anna Bunina (FR),,66,1,9,10,11,,t  ,9 10-11  t,H Cobden,J C McConnell,
44,3,PU,,21,Captain Morgs,,100,1,9,10,8,,p  ,9 10-8  p,Sam Twiston-Davies,N J Henderson,
45,4,1,,1,Stumptown,,5,2,8,11,10,Fav,p1  ,8 11-10  p1,K M Donoghue,G P Cromwell,
46,4,2,7,9,Latenightpass,,11,1,12,10,11,,,12 10-11,Miss Gina Andrews,T Ellis,
47,4,3,1¼,6,Vanillier (FR),,15,2,10,11,0,,t   b  ,10 11-0  t   b,S W Flanagan,G P Cromwell,
48,4,4,1¼,14,The Goffer,,6,1,8,10,5,,t  ,8 10-5  (oh 1)   t,S Bowen,G Elliott,
49,4,5,3¾,11,Mister Coffey (FR),,11,2,10,10,10,,,10 10-10,N de Boinville,N J Henderson,
50,4,6,2¼,10,Chemical Energy,,16,1,9,10,10,,p  ,9 10-10  p,D J Gilligan,G Elliott,
51,4,7,7,8,Roi Mage (FR),,40,1,13,10,12,,,13 10-12,J Reveley,P Griffin,
52,4,8,1½,15,Escaria Ten (FR),,33,1,11,10,5,,p  ,11 10-5  (oh 4)   p,James Best,M Keighley,
53,4,9,3½,3,Coko Beach (FR),,25,1,10,11,3,,b  ,10 11-3  b,Sam Twiston-Davies,G Elliott,
54,4,10,18,5,French Dynamite (FR),,50,1,10,11,0,,t   p  ,10 11-0  t   p,G Brouder,M F Morris,3
55,4,PU,,2,Galvin,,4,1,11,11,7,2Fav,,11 11-7,Mr Derek O'Connor,G Elliott,
56,4,PU,,4,Iwilldoit,,22,1,12,11,0,,,12 11-0,Dylan Johnston,S Thomas,3
57,4,PU,,7,Minella Crooner,,50,1,9,10,13,,p  ,9 10-13  p,J C Gainford,G Elliott,
58,4,PU,,12,Busselton (FR),,7,1,8,10,5,,b  ,8 10-5  b,J J Slevin,J P O'Brien,
59,4,PU,,13,Gevrey (FR),,66,1,9,10,2,,p  ,9 10-2  p,J Coen,G Elliott,3
60,4,PU,,16,Chambard (FR),,80,1,13,10,0,,p  ,13 10-0  (oh 6)   p,Miss Lucy Turner,Miss V Williams,5
61,5,1,,6,Marine Nationale,,5,1,8,11,10,2Fav,t  ,8 11-10  t,S W Flanagan,B Connell,
62,5,2,18,4,Jonbon (FR),,5,6,9,11,10,Fav,,9 11-10,N de Boinville,N J Henderson,
63,5,3,1¼,1,Captain Guinness,,25,1,10,11,10,,,10 11-10,Rachael Blackmore,H De Bromhead,
64,5,4,½,8,Solness (FR),,12,1,7,11,10,,t   p  ,7 11-10  t   p,J J Slevin,J P O'Brien,
65,5,5,5½,3,Found A Fifty,,11,1,8,11,10,,,8 11-10,Danny Gilligan,G Elliott,
66,5,PU,,2,Energumene (FR),,6,1,11,11,10,,,11 11-10,P Townend,W P Mullins,
67,5,F,,5,Libberty Hunter,,33,1,9,11,10,,,9 11-10,Adam Wedge,Evan Williams,
68,5,F,,7,Quilixios,,40,1,8,11,10,,,8 11-10,D J O'Keeffe,H De Bromhead,
69,6,1,,15,Jazzy Matty (FR),,15,2,6,10,7,,p  ,6 10-7  p,D J Gilligan,C Collins,
70,6,2,1½,7,Unexpected Party (FR),,11,2,10,11,2,Fav,t  ,10 11-2  t,Harry Skelton,D Skelton,
71,6,3,1½,16,Midnight It Is,,25,1,9,10,6,,,9 10-6,S W Flanagan,G P Cromwell,
72,6,4,3¾,3,My Mate Mozzie,,13,2,9,11,9,,t  ,9 11-9  t,K M Donoghue,G P Cromwell,
73,6,5,nk,19,Jasko Des Dames (FR),,22,1,6,10,3,,t  ,6 10-3  t,D J O'Keeffe,H De Bromhead,
74,6,6,3¾,18,Conyers Hill,,18,1,7,10,3,,h  ,7 10-3  h,S F O'Keeffe,P Nolan,
75,6,7,3,12,Traprain Law (FR),,20,1,7,10,8,,t  ,7 10-8  t,P W Wadge,Miss Lucinda V Russell,
