Id,Course,Date,Time,RaceDesc,Class,Age,PrizeMoney,Ran,Distance,Going
1, Haydock ,19-Mar-25,14:20,Racing To School Novices' Limited Handicap Chase (GBB Race),3, 5YO plus ,"7,922",1,2m 3f 203y,Good (Good to Soft in places)
2, Haydock ,19-Mar-25,14:50,Visit racingtv.com 'National Hunt' Maiden Hurdle (GBB Race),4, 4YO plus ,"4,901",6,2m 5f 50y,Good
3, Haydock ,19-Mar-25,15:20,Molson Coors Novices' Hurdle (GBB Race),4, 4YO plus ,"4,901",4,1m 7f 144y,Good
4, Haydock ,19-Mar-25,15:50,Le Willows Mares' Handicap Hurdle (Challenger Mares' Hurdle Series Qualifier),4, 4YO plus ,"5,281",5,2m 5f 50y,Good
5, Haydock ,19-Mar-25,16:25,Tim Molony Handicap Chase (GBB Race),3, 5YO plus ,"8,450",4,3m 4f 97y,Good (Good to Soft in places)
6, Haydock ,19-Mar-25,17:00,Thank You Stephen Milton Handicap Hurdle,4, 4YO plus ,"5,281",5,2m 2f 191y,Good
7, Haydock ,19-Mar-25,17:35,Racing TV Handicap Hurdle,4, 4YO plus ,"5,281",5,3m 58y,Good
8, Huntingdon ,19-Mar-25,14:35,Weatherbys Private Bank Maiden Hurdle (GBB Race),4, 4YO plus ,"3,812",4,2m 3f 137y,Good
9, Huntingdon ,19-Mar-25,15:05,Weatherbys Hamilton Handicap Hurdle,5, 4YO plus ,"3,812",5,2m 3f 137y,Good
10, Huntingdon ,19-Mar-25,15:35,Arkle Finance Handicap Chase,5, 5YO plus ,"4,357",5,2m 104y,Good
11, Huntingdon ,19-Mar-25,16:07,Weatherbys Racing Bank Novices' Hurdle (GBB Race),4, 4YO plus ,"3,812",5,1m 7f 171y,Good
12, Huntingdon ,19-Mar-25,16:42,weatherbysshop.co.uk Novices' Handicap Chase (GBB Race),4, 5YO plus ,"5,446",5,2m 7f 129y,Good
13, Huntingdon ,19-Mar-25,17:12,Weatherbys Scientific Fillies' 'Junior' National Hunt Flat Race (GBB Race),5, 4YO only ,"2,178",12,1m 7f 171y,Good
14, Southwell ,19-Mar-25,16:52,Win £1M With BetMGM's Golden Goals Handicap,4, 3YO only ,"4,972",8,4f 214y,Standard (AW - Tapeta)
15, Southwell ,19-Mar-25,17:25,Weekly £5 Free Bet With BetUK Handicap,5, 4YO plus ,"3,716",6,1m 6f 21y,Standard (AW - Tapeta)
16, Southwell ,19-Mar-25,18:00,Gamble Responsibly At BetUK Handicap,5, 4YO plus ,"3,716",8,1m 3f 23y,Standard (AW - Tapeta)
17, Southwell ,19-Mar-25,18:30,Weekly Free Bets With BetMGM Extra Handicap,3, 4YO plus ,"8,208",8,1m 13y,Standard (AW - Tapeta)
18, Southwell ,19-Mar-25,19:00,Boost Your Acca At BetMGM EBF Fillies' Novice Stakes (GBB Race),4, 3YO only ,"4,999",8,1m 13y,Standard (AW - Tapeta)
19, Southwell ,19-Mar-25,19:30,Best Odds Guaranteed At BetMGM Maiden Stakes (GBB Race) (Div 1),5, 3YO plus ,"3,942",9,7f 14y,Standard (AW - Tapeta)
20, Southwell ,19-Mar-25,20:00,Best Odds Guaranteed At BetMGM Maiden Stakes (GBB Race) (Div 2),5, 3YO plus ,"3,942",8,7f 14y,Standard (AW - Tapeta)
21, Southwell ,19-Mar-25,20:30,£30 In Free Bets With BetUK Handicap,4, 4YO plus ,"4,972",7,6f 16y,Standard (AW - Tapeta)
