Id,Course,Date,Time,RaceDesc,Class,Age,PrizeMoney,Ran,Distance,Going
1, Chepstow ,16-Mar-25,14:02,Dragonbet Born From The Betting Ring Mares' Maiden Hurdle (GBB Race),4, 4YO plus ,"4,193",8,2m 3f 100y,Good (Good to Soft in places)
2, Chepstow ,16-Mar-25,14:32,Capital Windscreens Supports Muscular Dystrophy Maiden Hurdle (GBB Race),4, 4YO plus ,"4,193",3,2m 7f 131y,Good (Good to Soft in places)
3, Chepstow ,16-Mar-25,15:02,Download The Dragonbet App Handicap Chase (GBB Race),4, 5YO plus ,"4,700",7,2m 7f 131y,Good
4, Chepstow ,16-Mar-25,15:37,Terry's Birthday Mares' Handicap Hurdle (Qualifier),3, 4YO plus ,"5,651",7,2m 3f 100y,Good (Good to Soft in places)
5, Chepstow ,16-Mar-25,16:12,Capital Windscreens Supports Autism Charity Novices' Handicap Chase (GBB Race),4, 5YO plus ,"4,700",5,2m 11y,Good
6, Chepstow ,16-Mar-25,16:47,Dragonbet Handicap Chase,5, 5YO plus ,"3,248",8,2m 3f 98y,Good
7, Chepstow ,16-Mar-25,17:17,Best Odds Guaranteed With Dragonbet Open National Hunt Flat Race (Category 1 Elimination) (GBB Race),5, 4YO to 6YO ,"2,451",8,2m 11y,Good (Good to Soft in places)
8, Market Rasen ,16-Mar-25,13:52,"Join Racing TV Now EBF Junior ""National Hunt"" Hurdle (GBB Race)",4, 4YO only ,"4,901",3,2m 125y,Good (Good to Soft in places)
9, Market Rasen ,16-Mar-25,14:22,Watch On Racing TV Maiden Hurdle (GBB Race),4, 4YO plus ,"3,812",8,2m 4f 139y,Good (Good to Soft in places)
10, Market Rasen ,16-Mar-25,14:52,Bet At racingtv.com Handicap Chase,5, 5YO plus ,"5,017",6,2m 1f 43y,Good (Good to Soft in places)
11, Market Rasen ,16-Mar-25,15:22,Watch Race Replays At racingtv.com Novices' Handicap Hurdle,5, 4YO plus ,"3,697",5,2m 2f 140y,Good (Good to Soft in places)
12, Market Rasen ,16-Mar-25,15:57,100% RacingTV Profits Back To Racing Handicap Hurdle,4, 4YO plus ,"5,809",6,2m 7f 16y,Good (Good to Soft in places)
13, Market Rasen ,16-Mar-25,16:32,Get Daily Tips At racingtv.com Mares' Handicap Chase (Challenger Mares' Chase Qualifier) (GBB),4, 5YO plus ,"6,601",6,2m 7f 191y,Good (Good to Soft in places)
14, Market Rasen ,16-Mar-25,17:07,Visit racingtv.com Open Maiden National Hunt Flat Race (Category 3 Elimination) (GBB Race),5, 4YO to 6YO ,"2,178",3,2m 125y,Good (Good to Soft in places)
15, Curragh (IRE) ,16-Mar-25,13:40,Castle Star At Capital Stud Irish EBF Maiden,,2YO only ,"12,000",7,5f,Soft
16, Curragh (IRE) ,16-Mar-25,14:10,Nua Healthcare Handicap,,3YO plus ,"12,600",13,6f,Soft
17, Curragh (IRE) ,16-Mar-25,14:40,Nua Healthcare Handicap,,4YO plus ,"21,000",12,6f,Soft
18, Curragh (IRE) ,16-Mar-25,15:10,Alkumait At Capital Stud Fillies & Mares Maiden,,3YO plus ,"12,000",20,7f,Soft
19, Curragh (IRE) ,16-Mar-25,15:45,Nua Healthcare Irish Lincolnshire (Premier Handicap),, 4YO plus ,"60,000",27,1m,Soft
20, Curragh (IRE) ,16-Mar-25,16:20,Bermingham Cameras (C & G) Maiden,, 3YO plus ,"12,000",18,1m,Soft
21, Curragh (IRE) ,16-Mar-25,16:55,Download The Tote App Handicap,,4YO plus ,"10,800",18,1m,Soft
22, Curragh (IRE) ,16-Mar-25,17:25,Tote.ie Irish EBF Maiden,,3YO plus ,"12,000",13,6f,Soft
