Id,Course,Date,Time,RaceDesc,Class,Age,PrizeMoney,Ran,Distance,Going
1, Exeter ,18-Mar-25,14:15,Irish Thoroughbred Marketing Maiden Hurdle (GBB Race),4, 4YO plus ,"3,812",3,2m 161y,Good (Good to Firm in places)
2, Exeter ,18-Mar-25,14:45,Visit Irish Bloodstock Sales With ITM Maiden Hurdle (GBB Race),4, 4YO plus ,"3,812",2,2m 5f 137y,Good (Good to Firm in places)
3, Exeter ,18-Mar-25,15:17,Unibet Middle Distance Series Veterans' Handicap Chase (Qualifier),3, 10YO plus ,"10,034",4,2m 3f 48y,Good (Good to Firm in places)
4, Exeter ,18-Mar-25,15:52,Think Ireland - Think Thoroughbred Handicap Hurdle,4, 4YO plus ,"5,809",4,2m 7f 25y,Good (Good to Firm in places)
5, Exeter ,18-Mar-25,16:27,Buy At Irish Bloodstock Sales Handicap Hurdle,4, 4YO plus ,"5,809",6,2m 5f 137y,Good (Good to Firm in places)
6, Exeter ,18-Mar-25,17:02,Experience Irish Racing With ITM Handicap Chase (GBB Race),4, 5YO plus ,"6,733",6,2m 3f 48y,Good (Good to Firm in places)
7, Exeter ,18-Mar-25,17:35,Totnes And Bridgetown Races Ltd Novices' Hunters' Chase,5, 5YO plus ,"2,566",2,3m 54y,Good (Good to Firm in places)
8, Wetherby ,18-Mar-25,14:00,Best Ticket Prices Online At wetherbyracing.co.uk Conditional Jockeys' Handicap Hurdle,5, 4YO plus ,"3,433",7,2m,Good (Good to Soft in places)
9, Wetherby ,18-Mar-25,14:30,racingtv.com Handicap Chase (GBB Race),4, 5YO plus ,"5,281",5,2m 3f 85y,Good (Good to Soft in places)
10, Wetherby ,18-Mar-25,15:00,Bowel Cancer Screening Programme Saves Lives Mares' 'National Hunt' Maiden Hurdle (GBB Race),4, 4YO plus ,"4,357",12,2m 3f 154y,Good (Good to Soft in places)
11, Wetherby ,18-Mar-25,15:35,Watch Racing TV In Stunning HD Novices' Limited Handicap Chase (GBB Race),3, 5YO plus ,"6,337",3,3m 45y,Good (Good to Soft in places)
12, Wetherby ,18-Mar-25,16:10,racingtv.com Handicap Hurdle,5, 4YO plus ,"3,433",9,3m 26y,Good (Good to Soft in places)
13, Wetherby ,18-Mar-25,16:45,Thank You Wetherby Groundstaff ~Groundsweek Open National Hunt Flat Race (GBB Race),5, 4YO to 6YO ,"2,722",6,2m,Good (Good to Soft in places)
14, Wolverhampton ,18-Mar-25,16:55,Best Odds Guaranteed At BetMGM Fillies' Novice Stakes (GBB Race),4, 3YO plus ,"5,670",5,1m 142y,Standard (AW - Tapeta)
15, Wolverhampton ,18-Mar-25,17:25,£30 In Free Bets With BetUK Handicap,6, 4YO plus ,"3,140",4,5f 21y,Standard (AW - Tapeta)
16, Wolverhampton ,18-Mar-25,18:00,"Weekly Free Bets With BetMGM Extra Restricted Novice Stakes (Bands B, C And D) (GBB Race)",5, 3YO to 5YO ,"3,942",6,7f 36y,Standard (AW - Tapeta)
17, Wolverhampton ,18-Mar-25,18:30,Win £1M With BetMGM's Golden Goals Handicap (Div 1),6, 4YO plus ,"4,711",11,7f 36y,Standard (AW - Tapeta)
18, Wolverhampton ,18-Mar-25,19:00,Win £1M With BetMGM's Golden Goals Handicap (Div 2),6, 4YO plus ,"4,711",11,7f 36y,Standard (AW - Tapeta)
19, Wolverhampton ,18-Mar-25,19:30,Gamble Responsibly At BetMGM Handicap,6, 4YO plus ,"3,140",9,1m 142y,Standard (AW - Tapeta)
20, Wolverhampton ,18-Mar-25,20:00,BetMGM: It's Showtime Handicap,6, 3YO only ,"3,140",11,6f 20y,Standard (AW - Tapeta)
21, Wolverhampton ,18-Mar-25,20:30,BetUK: It's Where The UK Bets Handicap,6, 4YO plus ,"3,140",9,1m 4f 51y,Standard (AW - Tapeta)
