Id,Course,Date,Time,RaceDesc,Class,Age,PrizeMoney,Ran,Distance,Going
1, Cheltenham ,12-Mar-25,13:20,Turners Novices' Hurdle (Grade 1) (Registered As The Baring Bingham Novices' Hurdle) (GBB Race),1, 4YO plus ,"84,405",11,2m 5f,Good to Soft
2, Cheltenham ,12-Mar-25,14:00,Brown Advisory Novices' Chase (Grade 1) (Registered As The Broadway Novices' Chase) (GBB Race),1, 5YO plus ,"112,540",7,3m 110y,Good to Soft
3, Cheltenham ,12-Mar-25,14:40,Coral Cup Handicap Hurdle (Premier Handicap) (GBB Race),1, 4YO plus ,"61,897",26,2m 5f,Good to Soft
4, Cheltenham ,12-Mar-25,15:20,Glenfarclas Cross Country Chase (A Limited Handicap) (GBB Race),2, 5YO plus ,"39,022",16,3m 5f 56y,Good to Soft (Good in places)
5, Cheltenham ,12-Mar-25,16:00,BetMGM Queen Mother Champion Chase (Grade 1) (GBB Race),1, 5YO plus ,"225,080",8,1m 7f 199y,Good to Soft
6, Cheltenham ,12-Mar-25,16:40,Debenhams Johnny Henderson Grand Annual Challenge Cup Handicap Chase (Premier Handicap) (GBB Race),1, 5YO plus ,"84,405",20,1m 7f 199y,Good to Soft
7, Cheltenham ,12-Mar-25,17:20,Weatherbys Champion Bumper (A Standard Open National Hunt Flat Race) (Grade 1) (GBB Race),1, 4YO to 6YO ,"45,560",17,2m 87y,Good to Soft
8, Huntingdon ,12-Mar-25,12:28,Advertise Your Business At Huntingdon Racecourse Handicap Hurdle,5, 4YO plus ,"6,244",9,1m 7f 171y,Good (Good to Soft in places)
9, Huntingdon ,12-Mar-25,12:58,Barry Girling Memorial Handicap Chase,5, 5YO plus ,"6,244",12,2m 7f 129y,Good (Good to Soft in places)
10, Huntingdon ,12-Mar-25,13:38,Visit Huntingdon For Your Next Conference Maiden Hurdle (GBB Race),4, 4YO plus ,"3,812",11,1m 7f 171y,Good (Good to Soft in places)
11, Huntingdon ,12-Mar-25,14:18,Seth And Sid Memorial Mares' Handicap Hurdle,5, 4YO plus ,"5,038",7,2m 3f 137y,Good (Good to Soft in places)
12, Huntingdon ,12-Mar-25,14:58,Join The 20 Club At Huntingdon Novices' Limited Handicap Hurdle,5, 4YO plus ,"3,812",7,2m 4f 145y,Good (Good to Soft in places)
13, Huntingdon ,12-Mar-25,15:38,2025 Season Tickets On Sale Now Handicap Chase,5, 5YO plus ,"4,084",7,2m 3f 189y,Good (Good to Soft in places)
14, Huntingdon ,12-Mar-25,16:18,Purchase Hospitality At Huntingdon Racecourse Open National Hunt Flat Race (Cat 1 Elimination) (GBB),5, 4YO to 6YO ,"2,178",8,1m 7f 171y,Good (Good to Soft in places)
15, Newcastle ,12-Mar-25,17:05,Free Bets With BetUK Bet Club Handicap,5, 4YO plus ,"3,716",6,2m 56y,Standard (AW - Tapeta)
16, Newcastle ,12-Mar-25,17:45,Weekly Free Bets With BetMGM Extra Fillies' Handicap,5, 4YO plus ,"3,716",7,7f 14y,Standard (AW - Tapeta)
17, Newcastle ,12-Mar-25,18:15,£30 In Free Bets With BetUK Restricted Maiden Stakes (For horses In Bands C And D) (GBB Race),5, 3YO to 5YO ,"3,942",6,5f,Standard (AW - Tapeta)
18, Newcastle ,12-Mar-25,18:45,Gamble Responsibly At BetMGM Handicap,6, 3YO only ,"4,711",9,6f,Standard (AW - Tapeta)
19, Newcastle ,12-Mar-25,19:15,BetMGM: It's Showtime Handicap,6, 4YO plus ,"4,711",6,7f 14y,Standard (AW - Tapeta)
20, Newcastle ,12-Mar-25,19:45,Gamble Responsibly At BetUK Handicap,6, 4YO plus ,"4,711",5,5f,Standard (AW - Tapeta)
21, Newcastle ,12-Mar-25,20:15,Boost Your Acca At BetMGM Handicap,5, 4YO plus ,"5,234",7,1m 5y,Standard (AW - Tapeta)
22, Wolverhampton ,12-Mar-25,16:55,Weekly £5 Free Bet With BetUK Handicap,3, 4YO plus ,"7,956",9,5f 21y,Standard (AW - Tapeta)
23, Wolverhampton ,12-Mar-25,17:30,Gamble Responsibly At BetUK Handicap,6, 4YO plus ,"4,711",9,6f 20y,Standard (AW - Tapeta)
24, Wolverhampton ,12-Mar-25,18:00,"Free Bets With BetUK Bet Club Restricted Novice Stakes (For horses In Bands B, C And D) (GBB Race)",5, 3YO to 5YO ,"3,942",9,1m 1f 104y,Standard (AW - Tapeta)
25, Wolverhampton ,12-Mar-25,18:30,£30 In Free Bets With BetUK Acca Club Handicap (Div 1),5, 4YO plus ,"5,234",8,1m 1f 104y,Standard (AW - Tapeta)
26, Wolverhampton ,12-Mar-25,19:00,£30 In Free Bets With BetUK Acca Club Handicap (Div 2),5, 4YO plus ,"5,234",7,1m 1f 104y,Standard (AW - Tapeta)
27, Wolverhampton ,12-Mar-25,19:30,BetMGM: It's Showtime Handicap,6, 4YO plus ,"4,711",12,1m 142y,Standard (AW - Tapeta)
28, Wolverhampton ,12-Mar-25,20:00,Gamble Responsibly At BetMGM Handicap,6, 4YO plus ,"3,140",10,7f 36y,Standard (AW - Tapeta)
29, Wolverhampton ,12-Mar-25,20:30,BetUK. It's Where The UK Bets Handicap,6, 4YO plus ,"4,449",10,1m 5f 219y,Standard (AW - Tapeta)
