Id,MainID,FPos,DistBtn,CardNo,HorseName,Draw,SPFrom,SPTo,Age,Stone,Lbs,Favs,Aid,AgeWt,Jockey,Trainer,Allow
1,1,1,,7,Queen Of Steel,,9,4,5,10,11,Fav,p1  ,5 10-11  p1,Jack Hogan,F O'Brien,3
2,1,2,4½,1,Somethingtosomeone,,6,1,6,12,0,,t1  ,6 12-0  t1,Joe Anderson,Ben Clarke,
3,1,3,5,6,Bridget Mary,,11,4,7,11,1,2Fav,t   p  ,7 11-1  t   p,Callum Pritchard,Miss R Curtis,
4,1,4,5½,4,Arctic Angel,,4,1,5,11,7,,,5 11-7,Isabel Williams,Evan Williams,
5,1,5,7,5,Miss Pearl,,12,1,9,10,13,,,9 10-13,Lewis Saunders,Sheila Lewis,3
6,1,6,14,8,Triple Nickle,,7,1,9,10,12,,p  ,9 10-12  p,Charlie Price,B J Llewellyn,
7,1,PU,,3,Presenting Nelly,,28,1,8,11,12,,t   p  ,8 11-12  t   p,Shane Fenelon,Mrs A M Thorpe,
8,2,1,,2,Knight Of Allen (FR),,1,1,5,11,12,2Fav,,5 11-12,David Noonan,Mrs J Williams,
9,2,2,2¾,1,Ben Solo,,5,6,6,11,12,Fav,,6 11-12,Ben Jones,Miss R Curtis,
10,2,3,48,4,Pink Eyed Pancho,,100,1,5,11,5,,t1  ,5 11-5  t1,C Brace,D Brace,
11,2,4,2½,5,Rubys Legacy,,50,1,6,11,0,,t  ,6 11-0  t,Shane Fenelon,D A Rees,5
12,2,PU,,3,Captain Trigger,,80,1,5,11,2,,,5 11-2,Charlie Price,R L Llewellyn,3
13,3,1,,3,Princess Keri,,13,8,5,10,13,Fav,p  ,5 10-13  p,Adam Wedge,Evan Williams,
14,3,2,17,1,Shesupincourt,,15,8,8,11,9,2Fav,t  ,8 11-9  t,Callum Pritchard,R Potter,5
15,3,3,19,2,Oneforthefairgreen,,10,3,7,11,4,,p  ,7 11-4  p,James Best,M Keighley,
16,3,4,¾,6,Comeonrita,,14,1,7,10,4,,,7 10-4,Isabelle Ryder,F Brennan,7
17,3,5,3¾,5,Royal Malinas,,40,1,7,10,11,,,7 10-11,James Davies,Mrs N S Evans,
18,3,PU,,4,Arctic Footprint,,12,1,11,10,12,,t   b  ,11 10-12  t   b,Liam Harrison,Kerry Lee,
19,4,1,,1,Top Of The Bill,,10,1,9,12,0,,p  ,9 12-0  p,Jordan Nailor,N A Twiston-Davies,
20,4,2,1½,5,Lilting Verse,,3,1,8,10,2,2Fav,t  ,8 10-2  t,Fern O'Brien,F O'Brien,7
