Id,Course,Date,Time,RaceDesc,Class,Age,PrizeMoney,Ran,Distance,Going
1, Cheltenham ,14-Mar-25,13:20,JCB Triumph Hurdle (Grade 1) (GBB Race),1, 4YO only ,"84,405",17,2m 179y,Good to Soft
2, Cheltenham ,14-Mar-25,14:00,William Hill County Handicap Hurdle (Premier Handicap) (GBB Race),1, 5YO plus ,"61,897",16,2m 179y,Good to Soft
3, Cheltenham ,14-Mar-25,14:40,Mrs Paddy Power Mares' Chase (Registered As The Liberthine Mares' Chase) (Grade 2) (GBB Race),1, 5YO plus ,"73,151",9,2m 4f 127y,Good to Soft
4, Cheltenham ,14-Mar-25,15:20,Albert Bartlett Novices' Hurdle (Grade 1) (Registered As The Spa Novices' Hurdle) (GBB Race),1, 5YO plus ,"84,405",20,2m 7f 213y,Good to Soft
5, Cheltenham ,14-Mar-25,16:00,Boodles Cheltenham Gold Cup Chase (Grade 1) (GBB Race),1, 5YO plus ,"363,999",9,3m 2f 70y,Good to Soft
6, Cheltenham ,14-Mar-25,16:40,St. James's Place Festival Challenge Cup Open Hunters' Chase,2, 5YO plus ,"24,445",24,3m 2f 70y,Good to Soft
7, Cheltenham ,14-Mar-25,17:20,Martin Pipe Conditional Jockeys' Handicap Hurdle (GBB Race),2, 4YO plus ,"39,022",24,2m 4f 56y,Good to Soft
8, Doncaster ,14-Mar-25,13:42,Virgin Bet Mares' Maiden Hurdle Herring Queen Mares' Novices' Hurdle Series Qualifier) (GBB Race),4, 4YO plus ,"4,066",8,2m 128y,Good
9, Doncaster ,14-Mar-25,14:22,Virgin Bet Every Saturday Money Back Novices' Hurdle (GBB Race),4, 4YO plus ,"4,193",3,2m 4f 181y,Good
10, Doncaster ,14-Mar-25,15:02,Virgin Bet Daily Price Boosts Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier),3, 4YO plus ,"5,651",6,3m 84y,Good
11, Doncaster ,14-Mar-25,15:40,Livescore Bet Handicap Hurdle (Go North Cab On Target Series Qualifier),4, 4YO plus ,"4,066",9,2m 4f 181y,Good
12, Doncaster ,14-Mar-25,16:25,Livescore Bet Best Odds Daily Mares' Handicap Chase,5, 5YO plus ,"3,248",5,3m 2f 1y,Good
13, Doncaster ,14-Mar-25,17:00,Livescore Bet Open Maiden National Hunt Flat Race (Category 3 Elimination) (GBB Race),4, 4YO to 6YO ,"3,921",7,2m 128y,Good
14, Fakenham ,14-Mar-25,13:35,Robert Case Memorial Maiden Hurdle (GBB Race),4, 4YO plus ,"3,540",7,2m 3y,Good to Soft (Good in places)
15, Fakenham ,14-Mar-25,14:14,Racing TV Mares' Handicap Chase (Queen Boudicca Mares' Chase Series Qualifier),5, 5YO plus ,"3,433",4,2m 5f 44y,Good to Soft (Good in places)
16, Fakenham ,14-Mar-25,14:54,Volt Low Alcohol Ipa @ Fakenham Racecourse Handicap Hurdle (For The Walter Wales Cup),5, 4YO plus ,"3,433",6,2m 4f 1y,Good to Soft (Good in places)
17, Fakenham ,14-Mar-25,15:34,Woodfordes Wherry Champion Beer Mares' Handicap Hurdle,5, 4YO plus ,"3,433",6,2m 3y,Good to Soft (Good in places)
18, Fakenham ,14-Mar-25,16:15,PH Betts (Holdings) Ltd Silver Cup Handicap Hurdle,3, 4YO plus ,"10,562",7,2m 3y,Good to Soft (Good in places)
19, Fakenham ,14-Mar-25,16:55,Pointing Pointers Queens Cup 'Grassroots' Open Hunters' Chase,5, 5YO plus ,"2,566",4,3m 38y,Good to Soft (Good in places)
20, Southwell ,14-Mar-25,16:20,Weekly Free Bets With BetMGM Extra Restricted Maiden Stakes (Bands C And D) (GBB) (Div 1),5, 3YO to 5YO ,"3,942",7,1m 13y,Standard (AW - Tapeta)
21, Southwell ,14-Mar-25,16:50,Weekly Free Bets With BetMGM Extra Restricted Maiden Stakes (Bands C And D) (GBB) (Div 2),5, 3YO to 5YO ,"3,942",7,1m 13y,Standard (AW - Tapeta)
22, Southwell ,14-Mar-25,17:30,Best Odds Guaranteed At BetMGM Fillies' Novice Stakes (GBB Race),5, 3YO only ,"3,942",7,1m 3f 23y,Standard (AW - Tapeta)
23, Southwell ,14-Mar-25,18:00,Gamble Responsibly At BetMGM Handicap,5, 4YO plus ,"3,716",11,7f 14y,Standard (AW - Tapeta)
24, Southwell ,14-Mar-25,18:30,Win £1M With BetMGM's Golden Goals Handicap (Div 1),4, 4YO plus ,"6,281",8,7f 14y,Standard (AW - Tapeta)
25, Southwell ,14-Mar-25,19:00,Win £1M With BetMGM's Golden Goals Handicap (Div 2),4, 4YO plus ,"6,281",8,7f 14y,Standard (AW - Tapeta)
26, Southwell ,14-Mar-25,19:30,Gamble Responsibly At BetUK Handicap,2, 4YO plus ,"12,988",11,6f 16y,Standard (AW - Tapeta)
27, Southwell ,14-Mar-25,20:00,Extra Winnings With BetUK Acca Club Handicap (GBBPlus Race),4, 4YO plus ,"5,339",8,1m 3f 23y,Standard (AW - Tapeta)
28, Southwell ,14-Mar-25,20:30,BetMGM: It's Showtime Handicap,5, 4YO plus ,"5,234",9,1m 13y,Standard (AW - Tapeta)
29, Wolverhampton ,14-Mar-25,17:10,Gamble Responsibly At BetUK Maiden Stakes (GBB Race),5, 3YO plus ,"3,942",6,6f 20y,Standard (AW - Tapeta)
30, Wolverhampton ,14-Mar-25,17:45,Boost Your Acca At BetMGM Novice Stakes (GBB Race),5, 3YO only ,"3,942",4,1m 4f 51y,Standard (AW - Tapeta)
31, Wolverhampton ,14-Mar-25,18:20,Win £1M With BetMGM's Golden Goals Handicap,4, 4YO plus ,"4,972",6,1m 142y,Standard (AW - Tapeta)
32, Wolverhampton ,14-Mar-25,18:50,Extra Winnings With BetUK Acca Club Handicap,6, 4YO plus ,"4,711",11,5f 21y,Standard (AW - Tapeta)
33, Wolverhampton ,14-Mar-25,19:20,BetUK: It's Where The UK Bets Handicap (GBBPlus Race),4, 4YO plus ,"4,972",7,1m 5f 219y,Standard (AW - Tapeta)
34, Wolverhampton ,14-Mar-25,19:50,Free Bets With BetUK Bet Club Handicap,6, 4YO plus ,"4,711",8,1m 1f 104y,Standard (AW - Tapeta)
35, Wolverhampton ,14-Mar-25,20:20,BetMGM: It's Showtime Handicap,5, 3YO only ,"5,234",8,1m 142y,Standard (AW - Tapeta)
36, Dundalk (IRE) ,14-Mar-25,16:30,Happy St Patrick's Weekend Handicap,, 3YO plus ,"6,000",10,5f,Standard (AW - Polytrack)
37, Dundalk (IRE) ,14-Mar-25,17:05,Floodlit Friday Nights At Dundalk Stadium Claiming Race,,4YO plus ,"6,000",9,1m 2f 150y,Standard (AW - Polytrack)
38, Dundalk (IRE) ,14-Mar-25,17:37,View Restaurant At Dundalk Stadium Handicap,, 4YO plus ,"6,000",12,1m 2f 150y,Standard (AW - Polytrack)
39, Dundalk (IRE) ,14-Mar-25,18:10,William Hill Top Price Guarantee Handicap,,4YO plus ,"6,899",6,1m 4f,Standard (AW - Polytrack)
40, Dundalk (IRE) ,14-Mar-25,18:40,William Hill Best Odds Guaranteed Handicap,, 4YO plus ,"6,300",13,1m,Standard (AW - Polytrack)
41, Dundalk (IRE) ,14-Mar-25,19:10,Book Online @ DundalkStadium.com Handicap,,3YO only ,"6,300",8,1m,Standard (AW - Polytrack)
42, Dundalk (IRE) ,14-Mar-25,19:40,Horse Racing Every Friday Until 11th April Race,,3YO only ,"10,200",6,6f,Standard (AW - Polytrack)
43, Dundalk (IRE) ,14-Mar-25,20:10,William Hill Proper Pricing Handicap,,3YO plus ,"9,300",7,6f,Standard (AW - Polytrack)
