Id,Course,Date,Time,RaceDesc,Class,Age,PrizeMoney,Ran,Distance,Going
28, Uttoxeter ,15-Mar-25,17:20,JenningsBet Mares' Open National Hunt Flat Race (Category 1 Elimination) (GBB Race),2, 4YO to 6YO ,"10,892",12,1m 7f 168y,Good to Soft
29, Wolverhampton ,15-Mar-25,17:30,BetUK: It's Where The UK Bets Handicap (GBB Plus Race),2, 4YO plus ,"12,988",5,1m 5f 219y,Standard (AW - Tapeta)
30, Wolverhampton ,15-Mar-25,18:00,Gamble Responsibly At BetUK Handicap,5, 4YO plus ,"3,716",10,5f 21y,Standard (AW - Tapeta)
31, Wolverhampton ,15-Mar-25,18:30,Extra Winnings With BetUK Acca Club Handicap,5, 4YO plus ,"3,716",7,1m 4f 51y,Standard (AW - Tapeta)
32, Wolverhampton ,15-Mar-25,19:00,Weekly Free Bets With BetMGM Extra Maiden Fillies' Stakes (GBB Race),5, 3YO plus ,"3,942",7,6f 20y,Standard (AW - Tapeta)
33, Wolverhampton ,15-Mar-25,19:30,Weekly £5 Free Bet With BetUK Classified Stakes,6, 4YO plus ,"3,140",11,6f 20y,Standard (AW - Tapeta)
34, Wolverhampton ,15-Mar-25,20:00,Gamble Responsibly At BetMGM Handicap,6, 3YO only ,"3,140",7,1m 1f 104y,Standard (AW - Tapeta)
35, Wolverhampton ,15-Mar-25,20:30,£30 In Free Bets With BetUK Classified Stakes,6, 4YO plus ,"4,711",9,1m 4f 51y,Standard (AW - Tapeta)
36, Thurles (IRE) ,15-Mar-25,13:55,Irish Stallion Farms EBF Mares Beginners Chase,,5YO plus ,"9,000",7,2m 2f 17y,Good to Yielding (Yielding in places)
37, Thurles (IRE) ,15-Mar-25,14:30,Pierce Molony Memorial Novice Chase (Grade 3),1, 5YO plus ,"18,000",5,2m 4f 176y,Good to Yielding (Yielding in places)
38, Thurles (IRE) ,15-Mar-25,15:05,Flexineb E3 Handicap Chase,,5YO plus ,"7,200",13,2m 4f 176y,Good (Good to Yielding in places)
39, Thurles (IRE) ,15-Mar-25,15:40,Adare Manor Opportunity Maiden Hurdle,,5YO plus ,"7,500",16,1m 7f 136y,Good (Good to Yielding in places)
40, Thurles (IRE) ,15-Mar-25,16:15,Jimmy Neville Memorial Hurdle,,5YO plus ,"7,200",6,2m 6f 42y,Good (Good to Yielding in places)
41, Thurles (IRE) ,15-Mar-25,16:50,Leugh Handicap Hurdle,,4YO plus ,"6,899",15,2m 6f 42y,Good (Good to Yielding in places)
42, Thurles (IRE) ,15-Mar-25,17:25,www.thurlesraces.ie (Pro/Am) INH Flat Race,, 4YO only ,"6,000",11,1m 7f 136y,Good (Good to Yielding in places)
