Id,Course,Date,Time,RaceDesc,Class,Age,PrizeMoney,Ran,Distance,Going
1, Kempton ,15-Mar-25,13:37,Virgin Bet Mares' Novices' Hurdle (Herring Queen Mares' Novices' Hurdle Series Qualifier) (GBB Race),4, 4YO plus ,"4,357",6,2m,Good
2, Kempton ,15-Mar-25,14:10,Virgin Bet Daily Price Boosts Novices' Limited Handicap Chase (GBB Race),3, 5YO plus ,"11,618",5,2m 2f,Good
3, Kempton ,15-Mar-25,14:45,Virgin Bet Best Odds Daily Handicap Hurdle (GBB Race),2, 4YO plus ,"20,812",10,2m 5f,Good
4, Kempton ,15-Mar-25,15:20,Virgin Bet Daily Extra Places Handicap Chase (GBB Race),2, 5YO plus ,"31,218",10,2m 4f 110y,Good
5, Kempton ,15-Mar-25,15:57,Virgin Bet Novices' Hurdle (GBB Race),4, 4YO plus ,"4,357",4,2m 5f,Good
6, Kempton ,15-Mar-25,16:32,Virgin Bet Every Saturday Money Back Handicap Chase (Challenger Staying Chase Qualifier) (GBB),3, 5YO plus ,"7,393",6,3m,Good
7, Kempton ,15-Mar-25,17:07,"Virgin Bet ""Junior"" National Hunt Flat Race (Category 1 Elimination) (GBB Race)",4, 4YO only ,"2,723",13,2m,Good
8, Newcastle ,15-Mar-25,13:27,Guinness 0.0 Novices' Hurdle (GBB Race),4, 4YO plus ,"4,193",5,2m 190y,Good
9, Newcastle ,15-Mar-25,14:02,Guinness Draught Handicap Chase (Go North One Man Series Qualifier) (GBB Race),4, 5YO plus ,"4,700",3,2m 75y,Good
10, Newcastle ,15-Mar-25,14:37,Guinness At Rio's Handicap Hurdle,5, 4YO plus ,"3,248",8,2m 4f 62y,Good to Soft (Good in places)
11, Newcastle ,15-Mar-25,15:12,Chase At Victors Handicap Chase (GBB Race),3, 5YO plus ,"6,179",4,2m 7f 91y,Good to Soft (Good in places)
12, Newcastle ,15-Mar-25,15:47,Smirnoff At Spy Bar Handicap Hurdle (Challenger Two Mile Hurdle Series Qualifier),3, 4YO plus ,"5,651",4,2m 190y,Good to Soft (Good in places)
13, Newcastle ,15-Mar-25,16:22,Guinness At The Canny Lad Handicap Chase (Go North Red Rum Series Qualifier),5, 5YO plus ,"3,248",6,2m 7f 91y,Good to Soft (Good in places)
14, Newcastle ,15-Mar-25,16:57,Pimm's At Ramside Open National Hunt Flat Race (Go North Jodami Series Qualifier) (GBB Race),5, 4YO to 6YO ,"2,451",5,2m 190y,Good to Soft (Good in places) (AW - Tapeta)
15, Southwell ,15-Mar-25,16:03,Free Bets With BetUK Bet Club Apprentice Handicap,6, 4YO plus ,"4,711",8,1m 4f 14y,Standard (AW - Tapeta)
16, Southwell ,15-Mar-25,16:38,Weekly Free Bets With BetMGM Extra Handicap,5, 3YO only ,"3,716",7,1m 4f 14y,Standard (AW - Tapeta)
17, Southwell ,15-Mar-25,17:13,BetMGM: It's Showtime Fillies' Handicap,4, 4YO plus ,"4,972",6,1m 13y,Standard (AW - Tapeta)
18, Southwell ,15-Mar-25,17:45,Boost Your Acca At BetMGM EBF Novice Stakes (GBB Race),2, 3YO only ,"20,616",9,1m 13y,Standard (AW - Tapeta)
19, Southwell ,15-Mar-25,18:15,Best Odds Guaranteed At BetMGM Handicap,3, 3YO only ,"7,956",6,7f 14y,Standard (AW - Tapeta)
20, Southwell ,15-Mar-25,18:45,Gamble Responsibly At BetMGM Handicap,4, 3YO only ,"4,972",11,6f 16y,Standard (AW - Tapeta)
21, Southwell ,15-Mar-25,19:15,Free Bets With BetUK Bet Club Handicap,5, 4YO plus ,"3,716",9,6f 16y,Standard (AW - Tapeta)
22, Uttoxeter ,15-Mar-25,13:50,JenningsBet 200 Shops Nationwide Handicap Hurdle,3, 4YO plus ,"10,562",15,2m 3f 207y,Good to Soft
23, Uttoxeter ,15-Mar-25,14:25,JenningsBet Handicap Hurdle (GBB Race),2, 4YO plus ,"52,030",17,2m 7f 70y,Good to Soft
24, Uttoxeter ,15-Mar-25,15:00,JenningsBet Midlands Grand National (Handicap Chase) (Premier Handicap) (GBB Race),1, 5YO plus ,"90,032",16,4m 2f 8y,Good to Soft
25, Uttoxeter ,15-Mar-25,15:35,JenningsBet Novices' Handicap Chase (GBB Race),2, 5YO plus ,"26,015",8,3m,Good to Soft
26, Uttoxeter ,15-Mar-25,16:10,"JenningsBet ""National Hunt"" Novices' Hurdle (GBB Race)",3, 4YO plus ,"10,892",9,2m 3f 207y,Good to Soft
27, Uttoxeter ,15-Mar-25,16:45,JenningsBet Handicap Chase (GBB Race),4, 5YO plus ,"8,714",6,2m 4f,Good to Soft
