Id,MainID,FPos,DistBtn,CardNo,HorseName,Draw,SPFrom,SPTo,Age,Stone,Lbs,Favs,Aid,AgeWt,Jockey,Trainer,Allow
1,1,1,,7,Sir Maxi,6,2,1,7,10,11,Fav,b  ,7 10-11  b,Mr E Cagney,S England,
2,1,2,1½,1,Amaysmont,2,5,1,8,10,11,,,8 10-11,Miss Lauren Frost,K Frost,5
3,1,3,½,2,Safari Dream,5,10,3,5,11,1,2Fav,,5 11-1,Mr Patrick Millman,B R Millman,
4,1,4,nk,8,The Cola Brasil,4,11,1,9,10,3,,p  ,9 10-3  p,Mr Kenny Roussety,M L W Bell,7
5,1,5,1¼,4,Kurimu,10,12,1,4,11,0,,,4 11-0,Miss Brodie Hampson,A Watson,
6,1,6,1½,3,Rusheen Boy,9,13,2,4,11,0,,t   h  ,4 11-0  t   h,Mr R Birkett,Julia & Shelley Birkett,
7,1,7,1,9,Almodovar Del Rio,11,22,1,6,9,13,,p  ,6 9-13  p,Mr Curtis Wilson-Ruddock,M Botti,7
8,1,8,hd,11,Moreginplease,3,40,1,4,9,6,,b  ,4 9-6  b,Mr Paul Hainey,J Ryan,5
9,1,9,1¾,5,Sonmarg,8,14,1,4,10,6,,t  ,4 10-6  t,Miss Holly Flynn,P D Evans,7
10,1,10,24,10,Broxi,1,66,1,7,9,4,,b  ,7 9-4  b,Mr Alexander Woodford,K Frost,7
11,2,1,,1,Hey Boo,4,5,4,3,9,4,Fav,h  ,3 9-4  h,George Bass,J Channon,3
12,2,2,½,6,Invisible,10,100,1,3,9,0,,,3 9-0,J Mitchell,Tom Clover,
13,2,3,nk,5,Forty Years On,1,6,1,3,9,0,,,3 9-0,Callum Shepherd,George Scott,
14,2,4,3¼,3,Bella Perla,3,6,1,3,9,0,,,3 9-0,Harry Davies,S & E Crisford,
15,2,5,½,9,Sands Of Havana,9,12,1,3,9,0,,,3 9-0,P J McDonald,Ollie Sangster,
16,2,6,½,4,Champagne On Ice,6,11,2,3,9,0,2Fav,,3 9-0,Tom Marquand,E Walker,
17,2,7,nk,8,Lady Mary (USA),5,66,1,3,9,0,,,3 9-0,Rob Hornby,George Scott,
18,2,8,1,10,Wonderbolt,2,20,1,3,9,0,,,3 9-0,Pierre-Louis Jamin,K R Burke,
19,2,9,1,7,Karakula,7,22,1,3,9,0,,,3 9-0,Daniel Muscutt,J Ferguson,
20,2,10,½,2,Amazing Force,8,8,1,3,9,0,,t1  ,3 9-0  t1,Rossa Ryan,J Tate,
21,3,1,,3,Brunel Charm,5,11,2,8,9,8,,,8 9-8,Saffie Osborne,C Wallis,
22,3,2,5½,2,Dion Baker,2,15,2,6,9,9,,,6 9-9,Hector Crouch,M Wigham,
23,3,3,nse,6,Southbank,4,7,4,4,9,3,Fav,t   p  ,4 9-3  t   p,Rossa Ryan,S C Williams,
24,3,4,shd,1,Kodi Red,6,18,1,5,9,9,,,5 9-9,D Egan,Darryll Holland,
25,3,5,1½,4,Just Ten High,7,9,4,4,9,7,2Fav,t   b  ,4 9-7  t   b,Rhys Clutterbuck,Dylan Cunha,
26,3,6,4¾,5,Roman Emperor,1,15,2,4,9,4,,p  ,4 9-4  p,Callum Shepherd,J Ryan,
27,4,1,,4,Fidelius,2,11,4,4,9,4,,,4 9-4,Tom Marquand,R M H Cowell,
28,4,2,2¾,2,Existent,4,5,2,7,9,6,2Fav,,7 9-6,Jack Doughty,S C Williams,3
29,4,3,¾,5,The Defiant,1,16,1,9,7,13,,t   p  ,9 7-13 (ow 1)   (ex4)   t   p,Jack Dace,L A Dace,7
30,4,4,shd,3,El Bufalo,3,15,8,4,9,6,Fav,t   b  ,4 9-6  t   b,D Egan,Dylan Cunha,
31,4,5,3½,1,Diomed Spirit,5,13,2,5,9,11,,,5 9-11,Marco Ghiani,S C Williams,
32,5,1,,2,Penzance,4,3,1,5,9,7,2Fav,,5 9-7,Alistair Rawlinson,M Appleby,
33,5,2,nk,7,Magico,5,7,4,4,9,1,Fav,t  ,4 9-1  t,Rossa Ryan,M Botti,
34,5,3,3½,3,Felix,8,33,1,9,9,6,,t   p  ,9 9-6  t   p,Marco Ghiani,M Botti,
35,5,4,½,1,Salamanca,9,10,1,4,9,9,,,4 9-9,Jonny Peate,Jane Chapple-Hyam,
