Id,Course,Date,Time,RaceDesc,Class,Age,PrizeMoney,Ran,Distance,Going
1, Fontwell ,17-Mar-25,14:02,"Birchwood Kia - Chichester, Driven By You Maiden Hurdle (GBB Race)",4, 4YO plus ,"4,193",10,2m 3f 29y,Good (Good to Soft in places)
2, Fontwell ,17-Mar-25,14:37,BetGoodwin Handicap Chase (GBB Race),4, 5YO plus ,"4,700",5,2m 1f 165y,Good (Good to Soft in places)
3, Fontwell ,17-Mar-25,15:12,V2 Radio Handicap Hurdle,4, 4YO plus ,"4,066",5,2m 1f 162y,Good (Good to Soft in places)
4, Fontwell ,17-Mar-25,15:47,BetGoodwin Best Odds Guaranteed Handicap Hurdle,5, 4YO plus ,"3,248",12,2m 5f 164y,Good (Good to Soft in places)
5, Fontwell ,17-Mar-25,16:20,NJS Group Handicap Chase,5, 5YO plus ,"3,248",7,3m 1f 210y,Good (Good to Soft in places)
6, Fontwell ,17-Mar-25,16:55,RJS Waste Management UK Open National Hunt Flat Race (Category 1 Elimination) (GBB Race),5, 4YO to 6YO ,"2,451",5,1m 5f 159y,Good (Good to Soft in places)
7, Southwell ,17-Mar-25,14:20,Watch Unbridled On attheraces.com Handicap Chase (GBB Race),4, 5YO plus ,"4,700",5,3m 1f 185y,Good to Soft (Good in places)
8, Southwell ,17-Mar-25,14:55,Grace And Dotty Fedora's And Feathers Novices' Handicap Chase,5, 5YO plus ,"3,248",5,1m 7f 182y,Good to Soft (Good in places)
9, Southwell ,17-Mar-25,15:30,Play At The Races Stableduel Novices' Hurdle (GBB Race),4, 4YO plus ,"4,193",7,2m 4f 88y,Good to Soft (Good in places)
10, Southwell ,17-Mar-25,16:05,Sky Sports Racing Sky 415 Mares' Novices' Limited Handicap Hurdle,5, 4YO plus ,"3,248",11,2m 4f 88y,Good to Soft (Good in places)
11, Southwell ,17-Mar-25,16:40,Join Southwell Golf Club Handicap Hurdle,4, 4YO plus ,"4,066",7,2m 4f 88y,Good to Soft (Good in places)
12, Southwell ,17-Mar-25,17:15,Enjoy The Racing App For Free Novices' Limited Conditional Jockeys' Handicap Hurdle,5, 4YO plus ,"3,248",9,3m 60y,Good to Soft (Good in places)
13, Wolverhampton ,17-Mar-25,16:27,Best Odds Guaranteed At BetMGM Handicap,4, 4YO plus ,"4,972",10,1m 142y,Standard (AW - Tapeta)
14, Wolverhampton ,17-Mar-25,17:00,Gamble Responsibly At BetUK Classified Stakes,6, 4YO plus ,"3,140",10,5f 21y,Standard (AW - Tapeta)
15, Wolverhampton ,17-Mar-25,17:30,Boost Your Acca At BetMGM Novice Stakes (GBB Race) (Div 1),4, 3YO plus ,"5,670",7,7f 36y,Standard (AW - Tapeta)
16, Wolverhampton ,17-Mar-25,18:00,Boost Your Acca At BetMGM Novice Stakes (GBB Race) (Div 2),4, 3YO plus ,"5,670",7,7f 36y,Standard (AW - Tapeta)
17, Wolverhampton ,17-Mar-25,18:30,Win £1M With BetMGM's Golden Goals Handicap,6, 4YO plus ,"3,140",9,7f 36y,Standard (AW - Tapeta)
18, Wolverhampton ,17-Mar-25,19:00,Free Bets With BetUK Bet Club Handicap,6, 4YO plus ,"3,140",8,6f 20y,Standard (AW - Tapeta)
19, Wolverhampton ,17-Mar-25,19:30,BetMGM: It's Showtime Handicap,6, 3YO only ,"3,140",10,1m 4f 51y,Standard (AW - Tapeta)
20, Wolverhampton ,17-Mar-25,20:00,Gamble Responsibly At BetMGM Classified Stakes (Div 1),6, 4YO plus ,"4,711",11,1m 142y,Standard (AW - Tapeta)
21, Wolverhampton ,17-Mar-25,20:30,Gamble Responsibly At BetMGM Classified Stakes (Div 2),6, 4YO plus ,"4,711",9,1m 142y,Standard (AW - Tapeta)
22, Down Royal (NI) ,17-Mar-25,13:52,Bluegrasshorsefeed.com Maiden Hurdle,,4YO plus ,"6,000",15,2m 190y,Good
23, Down Royal (NI) ,17-Mar-25,14:27,Albert Bartlett Triple Crown Series At Punchestown Festival 2025 Qualifier Novice Handicap Hurdle,,4YO plus ,"9,000",8,2m 4f,Good
24, Down Royal (NI) ,17-Mar-25,15:02,Powered By Bluegrass Handicap Hurdle,, 4YO plus ,"6,000",19,2m 4f,Good
25, Down Royal (NI) ,17-Mar-25,15:37,Bluegrass Stamm 30 Chase,,5YO plus ,"9,300",3,3m 2f 50y,Good
26, Down Royal (NI) ,17-Mar-25,16:12,Bluegrass Horse Feed Rated Novice Chase,,5YO plus ,"8,700",6,2m 3f 140y,Good
27, Down Royal (NI) ,17-Mar-25,16:47,Bluegrass Mare Prepare Hunters Chase,,5YO plus ,"6,000",8,2m 3f 140y,Good
28, Down Royal (NI) ,17-Mar-25,17:22,Bluegrass Horse Feed Mares INH Flat Race,,4YO plus ,"6,000",12,2m 190y,Good
29, Wexford (IRE) ,17-Mar-25,13:35,Wexford Mares Maiden Hurdle,,4YO plus ,"6,000",14,2m,Good to Yielding
30, Wexford (IRE) ,17-Mar-25,14:10,Treo Eile Maiden Hurdle,,4YO plus ,"6,000",14,2m,Good to Yielding
31, Wexford (IRE) ,17-Mar-25,14:45,Visit Wexford Novice Handicap Hurdle,,4YO plus ,"6,899",14,2m,Good to Yielding
32, Wexford (IRE) ,17-Mar-25,15:20,Michael O'Murchadha Handicap Hurdle,,4YO plus ,"12,000",11,2m,Good to Yielding
33, Wexford (IRE) ,17-Mar-25,15:55,BoyleSports Supporting Irish Racing Beginners Chase,,5YO plus ,"6,601",9,3m 1f 100y,Good to Yielding
34, Wexford (IRE) ,17-Mar-25,16:30,Racing Again Friday 4th April Handicap Chase,, 5YO plus ,"6,000",11,2m 3f 100y,Good to Yielding
35, Wexford (IRE) ,17-Mar-25,17:05,Wexfordraces.ie (Pro/Am) INH Flat Race,, 5YO plus ,"6,000",11,2m,Good to Yielding
