Id,MainID,FPos,DistBtn,CardNo,HorseName,Draw,SPFrom,SPTo,Age,Stone,Lbs,Favs,Aid,AgeWt,Jockey,Trainer,Allow
1,1,1,,2,Star Artist,,9,2,6,11,6,2Fav,,6 11-6,J J Burke,H Morrison,
2,1,2,2¼,1,Devon Dude,,1,5,5,11,6,Fav,,5 11-6,Adam Wedge,Evan Williams,
3,1,3,2¼,3,Land Girl's Luck,,20,1,6,10,13,,,6 10-13,Liam Harrison,Max Comley,
4,2,1,,2,J J Moon,,1,14,6,11,7,Fav,,6 11-7,H Cobden,Miss E C Lavelle,
5,2,2,½,1,Dino Magic (FR),,13,2,6,11,2,2Fav,t  ,6 11-2  t,Jay Tidball,P F Nicholls,5
6,3,1,,5,The Widdow Maker,,15,8,11,10,8,2Fav,t  ,11 10-8  t,Jack Tudor,J Tizzard,
7,3,2,½,4,Spyglass Hill,,14,1,12,11,0,,t  ,12 11-0  t,C Gethings,F Brennan,
8,3,3,6,1,Annsam,,7,2,10,12,0,,,10 12-0,Adam Wedge,Evan Williams,
9,3,4,1¼,3,Le Ligerien (FR),,6,5,12,11,1,Fav,t  ,12 11-1  t,Brendan Powell,J Tizzard,
10,4,1,,4,Tiny Tetley,,11,8,7,11,8,Fav,,7 11-8,M G Nolan,P Hobbs & J White,
11,4,2,2¾,1,Dans Le Vent (FR),,13,2,12,11,13,,,12 11-13,Isabel Williams,Evan Williams,3
12,4,3,23,5,Cooleenymore,,7,4,9,10,9,2Fav,p  ,9 10-9  p,Harry Kimber,R Walford,
13,4,4,20,3,Magical Escape,,5,1,7,11,11,,p  ,7 11-11  p,Thomas Bellamy,K Bailey & M Nicholls,
14,5,1,,4,Night Duty,,5,1,9,11,8,,p  ,9 11-8  p,J J Burke,F O'Brien,
15,5,2,hd,2,Teorie,,6,1,5,11,3,,,5 11-3,Mr Robbie David,Daisy Hitchins,7
16,5,3,7½,1,Striking A Pose,,9,2,9,12,0,J2Fav,b  ,9 12-0  b,Brendan Powell,J Tizzard,
17,5,4,1½,8,Iris Des Issards (FR),,9,2,7,10,12,J2Fav,p1  ,7 10-12  p1,Mr Joshua Newman,K Woollacott,5
