Id,MainID,FPos,DistBtn,CardNo,HorseName,Draw,SPFrom,SPTo,Age,Stone,Lbs,Favs,Aid,AgeWt,Jockey,Trainer,Allow
1,1,1,,1,My Friend Sean,,8,11,6,11,11,Fav,t   p  ,6 11-11  t   p,Cameron Iles,T Lacey,3
2,1,2,3¼,7,Victor Haze,,33,1,8,9,11,,,8 9-11  (oh 7),Oliver Boyden,P C Dando,5
3,1,3,nk,5,Robins Field,,9,1,10,10,2,,t   p  ,10 10-2  t   p,Callum Pritchard,H Dickin,
4,1,4,9½,2,Port Or Starboard,,5,2,8,11,8,2Fav,p  ,8 11-8  p,Chad Bament,B J Llewellyn,3
5,1,5,3¾,4,Jackson's Bay,,15,2,4,10,4,,,4 10-4,Ellis Collier,Evan Williams,3
6,2,1,,1,Redbridge Rambler,,15,2,7,12,0,,p  ,7 12-0  p,James Best,M Keighley,
7,2,2,8,7,Jessmae,,9,2,8,10,8,,p  ,8 10-8  p,Lee Edwards,Henry Oliver,
8,2,3,4¾,4,Puddlesinthepark,,4,1,7,11,3,J2Fav,p  ,7 11-3  p,Adam Wedge,Evan Williams,
9,2,4,2¾,5,Unspeakable,,4,1,7,10,11,J2Fav,t  ,7 10-11  t,Jack Tudor,Christian Williams,
10,2,5,3,3,Lock Out,,7,2,8,11,1,Fav,b  ,8 11-1  b,Ben Bromley,D Pipe,5
11,2,6,53,6,Frankie Roy,,12,1,8,10,6,,t   p1  ,8 10-6  t   p1,Charlie Price,R L Llewellyn,3
12,2,PU,,2,Macfin,,11,1,9,11,10,,t  ,9 11-10  t,Stan Sheppard,T Lacey,
13,2,PU,,8,Janeslittlevoice,,25,1,11,10,4,,,11 10-4,Ben Godfrey,Ella Pickard,
14,2,PU,,9,Totowolfe,,20,1,8,10,2,,,8 10-2  (oh 1),James Davies,N J Hawke,
15,3,1,,2,Jaminska (FR),,5,2,6,11,7,2Fav,,6 11-7,David Noonan,Mrs J Williams,
16,3,2,½,4,Hard Dealt,,4,1,5,11,0,,,5 11-0,David Bass,H D Daly,
17,3,3,14,1,Hard As Nails,,5,4,7,11,9,Fav,,7 11-9,Jack Hogan,F O'Brien,3
18,3,4,11,5,Put A Lid On It,,50,1,5,10,7,,,5 10-7,Fern O'Brien,F O'Brien,7
19,3,5,16,3,Chique Angel,,5,1,6,11,0,,,6 11-0,H Cobden,P F Nicholls,
20,3,6,30,6,Seventeenothree,,150,1,5,11,0,,,5 11-0,Harry Kimber,K Woollacott,
21,3,7,7,7,Pepper Queen,,125,1,4,10,4,,,4 10-4,Sam Twiston-Davies,H D Daly,
22,4,1,,1,Gats And Co,,7,1,10,12,0,,t  ,10 12-0  t,C Brace,D Brace,
23,4,2,5½,8,Spotty Dog,,6,1,10,10,2,,b1  ,10 10-2  (oh 3)   b1,Harry Reed,M Hawker,
24,4,3,1¼,6,Pottlerath,,15,2,10,10,11,,t   p  ,10 10-11  t   p,Stan Sheppard,M Sheppard,
