Id,MainID,FPos,DistBtn,CardNo,HorseName,Draw,SPFrom,SPTo,Age,Stone,Lbs,Favs,Aid,AgeWt,Jockey,Trainer,Allow
54,4,12,3½,2,Ballybow,,22,1,6,11,7,,,6 11-7,Danny Gilligan,G Elliott,
55,4,13,¾,7,Inn At The Park,,66,1,7,11,7,,,7 11-7,D E Mullins,W P Mullins,
56,4,14,25,1,Argento Boy,,14,1,6,11,7,,,6 11-7,Rachael Blackmore,W P Mullins,
57,4,PU,,4,First Confession,,50,1,6,11,7,,,6 11-7,Brendan Powell,J Tizzard,
58,4,PU,,5,Fishery Lane (FR),,50,1,6,11,7,,,6 11-7,S F O'Keeffe,W P Mullins,
59,4,PU,,6,Flicker Of Hope (FR),,25,1,6,11,7,,,6 11-7,K M Donoghue,M Fahey,
60,4,PU,,8,Intense Approach,,14,1,6,11,7,,,6 11-7,S Bowen,J C McConnell,
61,4,PU,,10,Jax Junior,,22,1,6,11,7,,,6 11-7,Tom Cannon,L Wadham,
62,4,PU,,14,Nativehill,,66,1,7,11,7,,t  ,7 11-7  t,N de Boinville,N J Henderson,
63,5,1,,6,Inothewayurthinkin,,15,2,7,11,10,,t  ,7 11-10  t,M P Walsh,G P Cromwell,
64,5,2,6,4,Galopin Des Champs (FR),,8,13,9,11,10,Fav,,9 11-10,P Townend,W P Mullins,
65,5,3,12,5,Gentlemansgame,,40,1,9,11,10,,,9 11-10,D J O'Keeffe,M F Morris,
66,5,4,1¼,7,Monty's Star,,8,1,8,11,10,,,8 11-10,Rachael Blackmore,H De Bromhead,
67,5,5,20,9,The Real Whacker,,28,1,9,11,10,,t  ,9 11-10  t,B S Hughes,P Neville,
68,5,6,2¼,8,Royale Pagaille (FR),,80,1,11,11,10,,,11 11-10,Charlie Deutsch,Miss V Williams,
69,5,7,1¼,2,Banbridge,,13,2,9,11,10,2Fav,p  ,9 11-10  p,J J Slevin,J P O'Brien,
70,5,F,,1,Ahoy Senor,,28,1,10,11,10,,,10 11-10,D R Fox,Miss Lucinda V Russell,
71,5,F,,3,Corbetts Cross,,14,1,8,11,10,,,8 11-10,J W Kennedy,E Mullins,
72,6,1,,23,Wonderwall,,28,1,9,12,0,,t1  ,9 12-0  t1,Mr R James,S Curling,
73,6,2,nk,10,Its On The Line,,4,1,8,12,0,2Fav,,8 12-0,Mr Derek O'Connor,E Mullins,
74,6,3,3¼,22,Willitgoahead,,13,2,7,12,0,,,7 12-0,Mr J L Scallan,G Elliott,
75,6,4,9½,13,Music Drive (FR),,33,1,8,12,0,,t  ,8 12-0  t,Miss Ellie Callwood,Miss K Morgan,
76,6,5,nse,18,Shearer,,6,1,9,12,0,,t   p  ,9 12-0  t   p,Miss Olive Nicholls,P F Nicholls,
77,6,6,1¾,5,Carnfunnock,,100,1,8,12,0,,,8 12-0,Mr Stephen Connor,S R B Crawford,
78,6,7,2¼,15,Plan Of Attack,,66,1,12,12,0,,b  ,12 12-0  b,Mr B O'Neill,H De Bromhead,
79,6,8,2,14,Ontheropes,,33,1,11,12,0,,,11 12-0,Mr C Mullins,T Mullins,
80,6,9,nk,24,Angels Dawn,,3,1,10,11,7,Fav,,10 11-7,Mr P A King,S Curling,
81,6,10,½,17,Ryehill,,17,2,8,12,0,,,8 12-0,Mr L P Shanahan,R O'Sullivan,
82,6,11,28,4,Bardenstown Lad,,66,1,10,12,0,,p  ,10 12-0  p,Mr E Mahon,D Loughnane,
83,6,12,1,21,What A Glance,,40,1,10,12,0,,t  ,10 12-0  t,Mr Toby McCain-Mitchell,Tom Britten,
84,6,13,18,11,Lift Me Up,,33,1,9,12,0,,p  ,9 12-0  p,Mr Jack Andrews,Miss M Filby,
85,6,14,6½,6,D'jango (FR),,66,1,12,12,0,,t  ,12 12-0  t,Mr D Andrews,Miss V Collins,
86,6,15,14,16,Rocky's Howya,,11,1,9,12,0,,,9 12-0,Mr D L Queally,D Queally,
