Id,MainID,FPos,DistBtn,CardNo,HorseName,Draw,SPFrom,SPTo,Age,Stone,Lbs,Favs,Aid,AgeWt,Jockey,Trainer,Allow
1,1,1,,1,Timetoshine (FR),,9,4,5,11,7,,,5 11-7,N de Boinville,N J Henderson,
2,1,2,8½,2,Anariza (FR),,2,1,5,10,11,2Fav,,5 10-11,Mr Jack Andrews,T Ellis,3
3,1,3,13,5,Christian Bruce,,40,1,4,10,4,,,4 10-4,Thomas Bellamy,A King,
4,1,4,20,6,Nancy P,,40,1,4,10,4,,,4 10-4,Brendan Powell,G & J Moore,
5,1,5,16,3,Cracker Muddle,,125,1,7,11,0,,,7 11-0,N F Houlihan,G & J Moore,
6,1,F,,4,Miss Altea Blue (FR),,11,8,4,10,11,Fav,t  ,4 10-11  t,Freddie Gingell,P F Nicholls,
7,2,1,,4,Teddy Blue (GER),,7,2,7,11,7,,t   b  ,7 11-7  t   b,Brendan Powell,Harry Derham,
8,2,2,3½,3,First Street,,13,8,8,11,8,Fav,t  ,8 11-8  t,N de Boinville,N J Henderson,
9,2,3,20,6,Paddy In The Caddy,,5,1,6,10,7,,,6 10-7,Sean Houlihan,P Hobbs & J White,
10,2,4,4¾,1,Asta La Pasta,,3,1,7,11,9,2Fav,t   h1  ,7 11-9  t   h1,Tristan Durrell,D Skelton,3
11,2,U,,5,Moveit Like Minnie,,9,1,8,11,4,,t   v  ,8 11-4  t   v,Thomas Bellamy,N A Twiston-Davies,
12,3,1,,9,Aston Martini,,10,3,6,11,4,JFav,p1  ,6 11-4  p1,N de Boinville,N J Henderson,
13,3,2,1,5,Classic King,,10,3,7,11,9,JFav,,7 11-9,Ben Jones,Miss E C Lavelle,
14,3,3,nk,8,Double Powerful,,7,1,6,11,5,,h  ,6 11-5  h,C O'Farrell,N P Mulholland,
15,3,4,6,4,Irish Hill (GER),,10,1,7,11,6,,p  ,7 11-6  p,Jay Tidball,P F Nicholls,5
16,3,5,6,1,West Balboa,,16,1,9,11,7,,p  ,9 11-7  p,Miss Heidi Palin,D Skelton,7
17,3,6,4¾,6,Saint Anapolino (FR),,11,2,6,11,8,,,6 11-8,M G Nolan,P Hobbs & J White,
18,3,7,6½,10,The Gray Ghost,,16,1,6,10,13,,t  ,6 10-13  t,Liam Harrison,R L Llewellyn,
19,3,8,2¾,7,Josh The Boss,,15,2,6,11,0,,t  ,6 11-0  t,Mr Jamie Neild,N A Twiston-Davies,7
20,3,9,5½,3,Chasing Fire,,12,1,8,11,11,,p  ,8 11-11  p,S Bowen,O Murphy,
21,3,10,7,2,Pyramid Place,,33,1,8,11,5,,h  ,8 11-5  h,Lewis Saunders,O Murphy,7
22,4,1,,6,Bad (FR),,5,2,6,11,2,Fav,b  ,6 11-2  b,Ben Jones,B Pauling,
23,4,2,½,7,Flegmatik (FR),,13,2,10,10,9,,t   p  ,10 10-9  t   p,Tristan Durrell,D Skelton,3
24,4,3,17,10,Bashers Reflection,,7,1,8,10,2,,t   p  ,8 10-2  (oh 1)   t   p,J M Quinlan,B I Case,
25,4,4,1¾,8,Bourbali (FR),,4,1,8,10,11,2Fav,,8 10-11,Brendan Powell,J Tizzard,
26,4,5,nk,3,Outlaw Peter,,7,1,9,11,11,,t  ,9 11-11  t,N de Boinville,P F Nicholls,
27,4,6,2,4,Sure Touch,,13,2,9,11,6,,,9 11-6,S Bowen,O Murphy,
