Id,MainID,FPos,DistBtn,CardNo,HorseName,Draw,SPFrom,SPTo,Age,Stone,Lbs,Favs,Aid,AgeWt,Jockey,Trainer,Allow
1,1,1,,6,The Four Sixes,,9,2,7,11,2,C2Fav,,7 11-2,S Bowen,O Murphy,
2,1,2,7,2,Homme Public (FR),,8,1,8,11,8,,t   p  ,8 11-8  t   p,Toby Wynne,O Greenall & J Guerriero,3
3,1,3,3,8,Mr Freedom,,7,1,6,10,10,,,6 10-10,M Goldstein,Miss S West,
4,1,4,20,1,Thunder Rock,,9,2,9,11,7,C2Fav,,9 11-7,Lewis Saunders,O Murphy,7
5,1,5,½,9,Willaston,,15,2,9,10,7,,t   p  ,9 10-7  t   p,Sean Quinlan,M Walford,
6,1,6,shd,7,Gentleman Bill,,10,3,7,10,10,Fav,,7 10-10,Henry Brooke,O Greenall & J Guerriero,
7,1,PU,,3,Nusret,,9,2,6,11,7,C2Fav,t  ,6 11-7  t,Freddie Gordon,N J Henderson,3
8,2,1,,8,Too Cool Forshrule,,11,8,6,10,12,Fav,,6 10-12,Henry Brooke,O Greenall & J Guerriero,
9,2,2,1,6,Regal And Royal (FR),,3,1,6,11,1,2Fav,,6 11-1,Sean Quinlan,J Candlish,
10,2,3,¾,1,Speiriuil,,8,1,5,12,0,,,5 12-0,Lorcan Murtagh,N J Hawke,
11,2,4,6½,3,Rock Hurley (FR),,13,2,7,11,10,,t   b  ,7 11-10  t   b,Theo Gillard,D McCain Jnr,
12,2,5,4¼,9,Noplacetobe,,25,1,8,10,3,,,8 10-3,Tabitha Worsley,Mrs M Rowley,3
13,2,6,6,4,El Fabienne (FR),,50,1,6,11,7,,t   p1  ,6 11-7  t   p1,C Gethings,A Ralph,
14,2,7,3¾,5,Brockarno,,8,1,7,11,6,,,7 11-6,Lee Edwards,B Clarke,
15,2,8,25,2,Yhprum's Law,,33,1,6,11,12,,,6 11-12,C J Todd,D Skelton,
16,2,PU,,7,Glenvango,,40,1,6,10,12,,,6 10-12,Toby Wynne,S Allwood,3
17,2,PU,,10,Rhodia,,18,1,9,10,3,,p1  ,9 10-3  p1,James Best,Sarah Hollinshead,
18,3,1,,7,Orbys River,,6,1,7,10,3,2Fav,,7 10-3,Toby Wynne,S Allwood,3
19,3,2,2¾,5,Neigh Botha,,7,1,8,11,7,,t   p  ,8 11-7  t   p,Henry Brooke,O Greenall & J Guerriero,
20,3,3,12,2,Sovereign Star,,14,1,7,11,12,,t1  ,7 11-12  t1,Theo Gillard,D McCain Jnr,
21,3,4,4,4,As Tears Go By,,17,2,7,11,2,,t1  ,7 11-2  t1,Mr Toby McCain-Mitchell,D J Jeffreys,7
22,3,5,¾,1,Boston Joe,,13,2,9,11,9,,t  ,9 11-9  t,Callum Pritchard,Miss R Curtis,5
23,3,6,1½,8,Chateau Du Lys,,28,1,6,9,12,,t  ,6 9-12  t,Freddie Mitchell,T R Gretton,5
24,3,7,2¼,3,Limetree Boy,,17,2,9,11,7,,p  ,9 11-7  p,Jack Hogan,Jonjo & A J O'Neill,3
25,3,U,,6,Stick With Me Sam (FR),,5,4,6,10,11,Fav,t  ,6 10-11  t,S Bowen,T R Gretton,
