Id,MainID,FPos,DistBtn,CardNo,HorseName,Draw,SPFrom,SPTo,Age,Stone,Lbs,Favs,Aid,AgeWt,Jockey,Trainer,Allow
1,1,1,,5,Kopek Des Bordes (FR),,4,6,5,11,7,Fav,h1  ,5 11-7  h1,P Townend,W P Mullins,
2,1,2,1¾,11,William Munny,,8,1,7,11,7,,h1  ,7 11-7  h1,S W Flanagan,B Connell,
3,1,3,5½,6,Romeo Coolio,,9,2,6,11,7,2Fav,,6 11-7,J W Kennedy,G Elliott,
4,1,4,3¾,4,Karniquet (FR),,33,1,5,11,7,,h1  ,5 11-7  h1,D E Mullins,W P Mullins,
5,1,5,7½,7,Salvator Mundi (FR),,14,1,5,11,7,,t   h  ,5 11-7  t   h,Mr P W Mullins,W P Mullins,
6,1,6,9,10,Tutti Quanti (FR),,125,1,5,11,7,,,5 11-7,H Cobden,P F Nicholls,
7,1,7,5,2,Irancy (FR),,25,1,7,11,7,,,7 11-7,M P Walsh,W P Mullins,
8,1,8,½,8,Sky Lord,,50,1,6,11,7,,,6 11-7,D J O'Keeffe,H De Bromhead,
9,1,9,12,1,Funiculi Funicula (FR),,80,1,5,11,7,,,5 11-7,B Hayes,W P Mullins,
10,1,10,12,3,Karbau (FR),,40,1,5,11,7,,,5 11-7,S F O'Keeffe,W P Mullins,
11,1,11,14,12,Workahead,,15,2,7,11,7,,,7 11-7,Rachael Blackmore,H De Bromhead,
12,2,1,,1,Jango Baie (FR),,5,1,6,11,7,J2Fav,,6 11-7,N de Boinville,N J Henderson,
13,2,2,¾,5,Only By Night,,25,1,7,11,0,,,7 11-0,K M Donoghue,G P Cromwell,
14,2,3,shd,3,Majborough (FR),,1,2,5,11,7,Fav,,5 11-7,M P Walsh,W P Mullins,
15,2,4,¾,2,L'eau Du Sud (FR),,5,1,7,11,7,J2Fav,t  ,7 11-7  t,Harry Skelton,D Skelton,
16,2,5,54,4,Touch Me Not,,16,1,6,11,7,,,6 11-7,J W Kennedy,G Elliott,
17,3,1,,23,Myretown,,13,2,8,10,3,Fav,,8 10-3,P W Wadge,Miss Lucinda V Russell,
18,3,2,11,13,The Changing Man,,7,1,8,11,2,J2Fav,t  ,8 11-2  t,Brendan Powell,J Tizzard,
19,3,3,3¾,12,Malina Girl,,14,1,8,11,4,,,8 11-4,K M Donoghue,G P Cromwell,
20,3,4,¾,14,Happygolucky,,28,1,11,11,2,,,11 11-2,J J Burke,Mrs M Rowley,
21,3,5,½,22,The Short Go,,11,1,8,10,8,,h  ,8 10-8  h,Rachael Blackmore,H De Bromhead,
22,3,6,½,10,Famous Bridge,,18,1,9,11,4,,p  ,9 11-4  p,Sean Quinlan,N G Richards,
23,3,7,3¼,7,Search For Glory,,33,1,8,11,9,,t   p  ,8 11-9  t   p,Sam Ewing,G Elliott,
24,3,8,8,8,Henry's Friend,,14,1,8,11,7,,p  ,8 11-7  p,Ben Jones,B Pauling,
25,3,9,4¾,17,Crebilly,,11,1,8,11,0,,,8 11-0,Jonjo O'Neill Jr.,Jonjo & A J O'Neill,
26,3,10,10,9,Sequestered,,16,1,7,11,1,,,7 11-1,J G Gilligan,P J Gilligan,5
27,3,11,1¾,5,Stay Away Fay,,25,1,8,11,12,,t  ,8 11-12  t,H Cobden,P F Nicholls,
28,3,12,8½,16,Grandeur D'ame (FR),,25,1,9,11,1,,,9 11-1,Tom Cannon,A King,
29,3,PU,,1,Trelawne,,25,1,9,12,0,,p  ,9 12-0  p,Thomas Bellamy,K Bailey & M Nicholls,
30,3,PU,,2,Farouk D'alene (FR),,125,1,10,11,12,,t1   p1  ,10 11-12  t1   p1,R P McLernon,G Brown,
31,3,PU,,3,Broadway Boy,,11,1,7,11,12,,,7 11-12,Sam Twiston-Davies,N A Twiston-Davies,
32,3,F,,4,Zanahiyr,,25,1,8,11,7,,t   b  ,8 11-7  t   b,C P Millar,G Elliott,5
33,3,PU,,6,Victtorino (FR),,22,1,7,11,11,,,7 11-11,Charlie Deutsch,Miss V Williams,
34,3,PU,,11,Richmond Lake,,40,1,9,11,4,,,9 11-4,B S Hughes,D McCain Jnr,
35,3,PU,,15,King Turgeon (FR),,22,1,7,11,1,,t   p  ,7 11-1  t   p,Jack Tudor,D Pipe,
36,3,PU,,18,Katate Dori (FR),,7,1,7,10,10,J2Fav,t   v  ,7 10-10  t   v,Dylan Johnston,S Thomas,3
37,3,PU,,19,Whistle Stop Tour,,12,1,7,10,12,,,7 10-12,D R Fox,Miss Lucinda V Russell,
38,3,PU,,20,Frero Banbou (FR),,50,1,10,10,7,,,10 10-7,Ned Fox,Miss V Williams,3
39,3,F,,21,Guard Your Dreams,,50,1,9,10,8,,t1  ,9 10-8  t1,Kielan Woods,N A Twiston-Davies,
40,3,PU,,24,Straw Fan Jack,,33,1,10,10,3,,p  ,10 10-3  p,Sean Houlihan,Sheila Lewis,
41,4,1,,9,Lossiemouth (FR),,4,6,6,11,5,Fav,,6 11-5,P Townend,W P Mullins,
42,4,2,7½,4,Jade De Grugy (FR),,5,1,6,11,5,2Fav,,6 11-5,D E Mullins,W P Mullins,
43,4,3,1¾,11,Take No Chances,,22,1,7,11,5,,,7 11-5,Harry Skelton,D Skelton,
44,4,4,1½,5,Jetara,,33,1,7,11,5,,p  ,7 11-5  p,Sam Ewing,Mrs J Harrington,
45,4,5,2,7,July Flower (FR),,8,1,6,11,5,,,6 11-5,Rachael Blackmore,H De Bromhead,
46,4,6,½,6,Joyeuse (FR),,12,1,6,11,5,,,6 11-5,N de Boinville,N J Henderson,
47,4,7,4¾,8,Kala Conti (FR),,16,1,5,11,5,,,5 11-5,J W Kennedy,G Elliott,
48,4,8,¾,2,Dysart Enos,,28,1,7,11,5,,,7 11-5,J J Burke,F O'Brien,
49,4,9,3¾,10,Queens Gamble,,66,1,7,11,5,,,7 11-5,Paul O'Brien,Harry Derham,
50,4,F,,3,Gala Marceau (FR),,66,1,6,11,5,,h  ,6 11-5  h,B Hayes,W P Mullins,
51,5,1,,7,Golden Ace,,25,1,7,11,3,,,7 11-3,Lorcan Williams,J Scott,
52,5,2,9,1,Burdett Road,,66,1,5,11,10,,t  ,5 11-10  t,Sam Twiston-Davies,James Owen,
53,5,3,1½,5,Winter Fog,,150,1,11,11,10,,,11 11-10,B Hayes,W P Mullins,
54,5,4,9,6,Brighterdaysahead (FR),,5,2,6,11,3,2Fav,,6 11-3,J W Kennedy,G Elliott,
55,5,5,10,3,King Of Kingsfield,,200,1,7,11,10,,,7 11-10,D J Gilligan,G Elliott,
56,5,F,,2,Constitution Hill,,1,2,8,11,10,Fav,,8 11-10,N de Boinville,N J Henderson,
57,5,F,,4,State Man (FR),,8,1,8,11,10,,p1  ,8 11-10  p1,P Townend,W P Mullins,
58,6,1,,6,Puturhandstogether,,17,2,4,11,6,,,4 11-6,M P Walsh,J P O'Brien,
59,6,2,6,8,Robbies Rock,,50,1,4,10,13,,t  ,4 10-13  t,C Stone-Walsh,G P Cromwell,3
60,6,3,shd,13,Liam Swagger,,12,1,4,11,0,,t   p  ,4 11-0  t   p,Sam Twiston-Davies,James Owen,
61,6,4,nk,21,Hot Fuss,,17,2,4,10,12,,b1  ,4 10-12  b1,David Bass,Tom Dascombe,
62,6,5,1,7,Slurricane,,33,1,4,10,11,,,4 10-11,T P Harney,R O'Sullivan,5
63,6,6,hd,1,Wendrock (FR),,33,1,4,11,12,,,4 11-12,J W Kennedy,G Elliott,
64,6,7,¾,20,Static (FR),,50,1,4,10,7,,,4 10-7,Charlie Maggs,D McCain Jnr,5
65,6,8,½,2,Murcia (FR),,16,1,4,11,12,,t  ,4 11-12  t,Rachael Blackmore,W P Mullins,
66,6,9,1¼,18,Beyond Your Dreams,,13,2,4,10,13,2Fav,p1  ,4 10-13  p1,J J Slevin,J P O'Brien,
67,6,10,1,15,Luker's Tipple,,33,1,4,10,13,,,4 10-13,S F O'Keeffe,A Kinirons,
68,6,11,3½,10,Teriferma,,28,1,4,11,2,,t   p  ,4 11-2  t   p,S Bowen,Jack Jones,
