Id,MainID,FPos,DistBtn,CardNo,HorseName,Draw,SPFrom,SPTo,Age,Stone,Lbs,Favs,Aid,AgeWt,Jockey,Trainer,Allow
1,1,1,,3,Yealand,,,,6,10,9,,,6 10-9,Sean Quinlan,J Candlish,
2,2,1,,2,High Dancer,,9,4,5,11,7,2Fav,,5 11-7,B S Hughes,J Ewart,
3,2,2,6½,1,Cahier's Den,,11,4,5,11,7,,,5 11-7,Theo Gillard,D McCain Jnr,
4,2,3,7½,3,Pike Road,,6,5,6,11,7,Fav,,6 11-7,James Best,M Keighley,
5,2,4,1¾,6,Shorten Sassy,,12,1,5,10,11,,,5 10-11,Shane Quinlan,Mrs M Rowley,3
6,2,5,2¼,4,Seeyainthesuninn,,80,1,5,11,7,,h  ,5 11-7  h,C O'Farrell,Micky Hammond,
7,2,6,52,5,Our Rosie,,200,1,6,10,11,,,6 10-11,Phillip Armson,M Mullineaux,3
8,3,1,,1,Jarrive De Mee (FR),,1,2,6,11,12,Fav,,6 11-12,Mr P W Mullins,W P Mullins,
9,3,2,21,2,Starcrossed Lover,,13,8,6,11,12,2Fav,,6 11-12,C O'Farrell,N P Mulholland,
10,3,3,24,4,Dante's Inferno,,66,1,6,10,11,,,6 10-11,Luke Scott,Mrs Stella Barclay,3
11,3,4,41,5,Love Is A Rose,,125,1,5,10,4,,h  ,5 10-4  h,Peter Kavanagh,M Mullineaux,3
12,4,1,,2,Could Be Trouble,,11,2,10,11,13,,t   v1  ,10 11-13  t   v1,Theo Gillard,D McCain Jnr,
13,4,2,4¼,6,Wrappedinrubies,,9,4,6,10,12,2Fav,p1  ,6 10-12  p1,William Maggs,D McCain Jnr,5
14,4,3,4¼,4,Kazontherazz,,4,1,9,10,13,,p1  ,9 10-13  p1,Daire James McConville,M Keighley,7
15,4,4,54,7,Ezmerellda,,25,1,5,10,12,,,5 10-12,James Best,S-J Davies,
16,4,F,,5,Eileen's Orders,,6,4,5,11,5,Fav,,5 11-5,Brendan Powell,Miss H C Knight,
17,5,1,,3,Regarde,,5,2,8,11,6,2Fav,t   p  ,8 11-6  t   p,Joe Anderson,Jamie Snowden,3
18,5,2,1¾,4,Duke Of Deception,,5,4,8,11,9,Fav,p  ,8 11-9  p,Henry Brooke,O Greenall & J Guerriero,
